,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.717,0.7966,0.717,0.6377,1.1308,0.6377,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5667,0.5458,0.5327,0.4982,0.5267,0.5787,0.01,123454321,3.3428,0.1448,1.1635,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,421,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,citeseer,0.7049,0.842,0.7049,0.6537,1.0212,0.6537,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.512,0.5505,0.5113,0.5144,0.5133,0.5787,0.02,246908642,3.2053,0.1443,1.1609,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,289,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,citeseer,0.7397,0.7058,0.7397,0.6658,1.0088,0.6658,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.538,0.5652,0.5233,0.517,0.5253,0.5746,0.02,370362963,3.7556,0.1429,1.1632,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,406,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,citeseer,0.7557,0.7109,0.7557,0.6671,1.0314,0.6671,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5473,0.5652,0.5233,0.511,0.518,0.5879,0.03,493817284,3.7792,0.1502,1.1624,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,365,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,citeseer,0.7623,0.6533,0.7623,0.6684,0.9904,0.6684,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.566,0.5598,0.5233,0.4777,0.5233,0.584,0.03,617271605,3.7058,0.148,1.1622,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,354,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,citeseer,0.7423,0.7009,0.7423,0.6684,0.998,0.6684,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.59,0.5705,0.5307,0.5191,0.54,0.5967,0.03,740725926,3.8937,0.1437,1.1623,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,363,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,citeseer,0.7076,0.8346,0.7076,0.6457,1.0305,0.6457,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.5514,0.5586,0.5147,0.4982,0.5173,0.5807,0.03,864180247,3.793,0.1541,1.1621,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,350,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,citeseer,0.7463,0.7098,0.7463,0.6765,1.023,0.6765,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.586,0.5518,0.53,0.505,0.5347,0.5907,0.01,987634568,3.7277,0.1556,1.1626,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,377,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,citeseer,0.7397,0.7414,0.7397,0.6765,1.0474,0.6765,0.9866,0.0302,0.9866,0.6671,1.7409,0.6671,0.5,0.5667,0.5411,0.54,0.507,0.5387,0.5746,0.03,1111088889,3.6779,0.1577,1.1651,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,citeseer,0.745,0.7426,0.745,0.6791,1.0388,0.6791,0.9866,0.0289,0.9866,0.6698,1.5881,0.6698,0.5,0.5913,0.5792,0.536,0.4883,0.534,0.5973,0.03,1234543210,3.6777,0.1541,1.1628,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,386,220,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,citeseer,0.7276,0.7816,0.7276,0.6644,1.0959,0.6644,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5774,0.5565,0.546,0.5002,0.54,0.584,0.02,123454321,7.3792,0.1436,1.2401,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,337,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,citeseer,0.7049,0.8414,0.7049,0.6644,1.0537,0.6644,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5574,0.5365,0.5193,0.5271,0.52,0.57,0.01,246908642,10.0247,0.1651,1.2389,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,275,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,citeseer,0.7477,0.72,0.7477,0.6564,1.0185,0.6564,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5574,0.5585,0.5353,0.5163,0.5367,0.5847,0.01,370362963,8.3055,0.1561,1.2413,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,398,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,citeseer,0.7477,0.7106,0.7477,0.6578,1.0498,0.6578,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5633,0.5551,0.536,0.5044,0.53,0.592,0.02,493817284,7.9772,0.1606,1.239,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,282,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,citeseer,0.773,0.6672,0.773,0.6832,0.9856,0.6832,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.552,0.5531,0.5293,0.4877,0.5307,0.5866,0.03,617271605,8.1351,0.1616,1.2391,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,285,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
15,citeseer,0.7503,0.7049,0.7503,0.6658,1.026,0.6658,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5907,0.5759,0.5427,0.5204,0.5507,0.598,0.02,740725926,8.2787,0.1699,1.2388,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,271,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
16,citeseer,0.6969,0.8323,0.6969,0.631,1.058,0.631,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.5627,0.5559,0.5314,0.4942,0.5253,0.5754,0.01,864180247,7.7034,0.1564,1.2388,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,270,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
17,citeseer,0.7263,0.7231,0.7263,0.6644,1.0492,0.6644,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.58,0.5445,0.5347,0.509,0.54,0.5847,0.01,987634568,7.0513,0.1543,1.2387,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,269,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
18,citeseer,0.7316,0.731,0.7316,0.6671,1.0622,0.6671,0.9866,0.0302,0.9866,0.6684,1.7409,0.6684,0.5,0.5694,0.5338,0.5413,0.5064,0.5494,0.5827,0.01,1111088889,7.2305,0.1676,1.2403,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,348,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
19,citeseer,0.745,0.7337,0.745,0.6805,1.0392,0.6805,0.9866,0.0289,0.9866,0.6698,1.5881,0.6698,0.5,0.584,0.5745,0.552,0.487,0.5541,0.5887,0.02,1234543210,7.2111,0.1493,1.2398,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,321,220,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
20,citeseer,0.717,0.7946,0.717,0.6631,1.1035,0.6631,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5827,0.5558,0.5427,0.4969,0.534,0.5827,0.02,123454321,5.4076,0.1345,1.2393,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,296,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
21,citeseer,0.7063,0.8404,0.7063,0.6404,1.0614,0.6404,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.562,0.5365,0.5227,0.5198,0.5207,0.576,0.01,246908642,5.2802,0.1348,1.2389,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,278,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
22,citeseer,0.729,0.7279,0.729,0.6858,1.0297,0.6858,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5747,0.5571,0.546,0.5163,0.5433,0.58,0.01,370362963,5.2447,0.133,1.2433,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,500,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
23,citeseer,0.7597,0.6935,0.7597,0.6551,1.0601,0.6551,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.564,0.5625,0.526,0.509,0.5247,0.5874,0.01,493817284,5.2415,0.1385,1.2389,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,279,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
24,citeseer,0.7717,0.654,0.7717,0.6604,1.0117,0.6604,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.564,0.5611,0.532,0.4777,0.5334,0.5873,0.03,617271605,5.3607,0.1342,1.2388,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,271,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
25,citeseer,0.7543,0.6998,0.7543,0.6765,1.0243,0.6765,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5894,0.5625,0.5454,0.5164,0.5467,0.598,0.02,740725926,5.3854,0.1399,1.2387,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,269,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
26,citeseer,0.7089,0.8253,0.7089,0.6551,1.0534,0.6551,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.562,0.5532,0.5273,0.4982,0.5294,0.5774,0.01,864180247,5.367,0.136,1.2394,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,304,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
