,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.9266,0.1912,0.9266,0.7219,0.9308,0.7219,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.586,0.6024,0.5473,0.5089,0.5493,0.6345,0.08,123454321,6.8014,0.189,1.2479,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,274,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,citeseer,0.9146,0.2181,0.9146,0.7193,0.9411,0.7193,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.576,0.6232,0.5393,0.5044,0.544,0.6599,0.07,246908642,6.5581,0.1834,1.2499,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,312,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,citeseer,0.9226,0.1864,0.9226,0.7059,0.9684,0.7059,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5826,0.6165,0.556,0.5303,0.544,0.6439,0.06,370362963,6.3775,0.1852,1.2515,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,343,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,citeseer,0.9453,0.1589,0.9453,0.7099,0.9943,0.7099,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5813,0.6138,0.5467,0.5064,0.542,0.6633,0.06,493817284,7.7582,0.1757,1.2474,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,265,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,citeseer,0.9359,0.1783,0.9359,0.7099,0.9623,0.7099,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.604,0.6118,0.55,0.4797,0.5413,0.6573,0.05,617271605,7.5313,0.1869,1.2486,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,288,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,citeseer,0.9372,0.1609,0.9372,0.7166,0.9356,0.7166,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.6187,0.6251,0.5627,0.5091,0.566,0.6653,0.05,740725926,7.2741,0.1805,1.2502,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,317,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,citeseer,0.9226,0.1962,0.9226,0.7139,0.9065,0.7139,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.57,0.5978,0.5447,0.5136,0.5387,0.6519,0.05,864180247,7.0899,0.1917,1.2484,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,284,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,citeseer,0.9359,0.179,0.9359,0.7246,0.9327,0.7246,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.6119,0.6285,0.5527,0.5063,0.554,0.6613,0.05,987634568,7.2947,0.1842,1.2486,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,288,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,citeseer,0.9119,0.2329,0.9119,0.7166,0.9051,0.7166,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5553,0.5811,0.5353,0.5042,0.5267,0.6231,0.13,123454321,14.8458,0.1739,1.1619,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,339,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,citeseer,0.9092,0.2575,0.9092,0.7005,0.9037,0.7005,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5513,0.6212,0.5247,0.501,0.5187,0.6486,0.08,246908642,14.7871,0.1768,1.1624,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,365,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,citeseer,0.9172,0.2292,0.9172,0.6925,0.9236,0.6925,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5413,0.5985,0.5233,0.5283,0.5193,0.6365,0.1,370362963,14.7686,0.1723,1.1627,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,382,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
