,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.7276,0.8246,0.7276,0.6698,1.0787,0.6698,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5494,0.5492,0.5207,0.5109,0.5194,0.5693,0.06,123454321,0.5011,0.1743,10.8984,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,citeseer,0.7276,0.8246,0.7276,0.6698,1.0787,0.6698,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5514,0.5492,0.52,0.5109,0.5194,0.5693,0.06,123454321,0.4796,0.1725,11.0933,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,citeseer,0.6903,0.8867,0.6903,0.607,1.0962,0.607,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.522,0.5586,0.504,0.5036,0.5067,0.5693,0.05,246908642,0.4874,0.1724,9.4236,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,397,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,citeseer,0.6903,0.8867,0.6903,0.607,1.0962,0.607,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5227,0.5586,0.504,0.5036,0.5087,0.5693,0.05,246908642,0.4771,0.1837,9.591,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,397,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,citeseer,0.7917,0.6108,0.7917,0.7152,0.9854,0.7152,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5754,0.5785,0.534,0.5062,0.528,0.602,0.03,123454321,0.7555,0.1857,19.7086,0.0001,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,305,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,citeseer,0.7143,0.8216,0.7143,0.6524,1.0789,0.6524,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5307,0.5499,0.5153,0.5176,0.5093,0.5666,0.09,370362963,0.5239,0.1881,9.528,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,404,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,citeseer,0.7143,0.822,0.7143,0.6537,1.0773,0.6537,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5334,0.5493,0.5147,0.5169,0.51,0.5652,0.09,370362963,0.501,0.1808,9.6973,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,404,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,citeseer,0.773,0.6212,0.773,0.6885,0.962,0.6885,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5607,0.5712,0.5167,0.5064,0.512,0.5967,0.02,246908642,0.7795,0.182,18.9984,0.0001,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,289,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,citeseer,0.7503,0.7073,0.7503,0.6604,1.0548,0.6604,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5367,0.5546,0.508,0.5056,0.508,0.5772,0.11,493817284,0.5062,0.1751,10.8984,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,citeseer,0.7503,0.7082,0.7503,0.6591,1.0554,0.6591,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.536,0.5566,0.508,0.5056,0.5073,0.5779,0.11,493817284,0.4848,0.1762,11.0933,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,citeseer,0.8064,0.5374,0.8064,0.6564,1.0308,0.6564,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5807,0.5798,0.534,0.517,0.532,0.6038,0.11,370362963,0.7571,0.2061,23.4684,0.0001,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,395,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,citeseer,0.7664,0.7164,0.7664,0.6604,0.9992,0.6604,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.5394,0.5425,0.506,0.4963,0.5067,0.5613,0.03,617271605,0.502,0.173,9.1553,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,379,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,citeseer,0.7664,0.7166,0.7664,0.6551,0.9972,0.6551,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.536,0.5446,0.5053,0.4956,0.506,0.5607,0.03,617271605,0.4791,0.174,9.3151,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,379,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,citeseer,0.7437,0.7602,0.7437,0.6457,1.0524,0.6457,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5547,0.5773,0.514,0.5124,0.5133,0.59,0.03,740725926,0.4906,0.1725,10.8984,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,citeseer,0.7397,0.7626,0.7397,0.6444,1.0538,0.6444,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5574,0.5766,0.5147,0.5117,0.514,0.5873,0.05,740725926,0.4732,0.1726,11.0933,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
15,citeseer,0.7183,0.8679,0.7183,0.6471,1.052,0.6471,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.53,0.5513,0.5093,0.5082,0.5053,0.5586,0.07,864180247,0.505,0.1752,9.8793,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,428,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
16,citeseer,0.7156,0.8671,0.7156,0.6471,1.0519,0.6471,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.5287,0.5513,0.5087,0.5075,0.5053,0.5573,0.07,864180247,0.4796,0.1804,10.0528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,428,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
17,citeseer,0.7276,0.8214,0.7276,0.6243,1.1054,0.6243,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.568,0.5485,0.518,0.5043,0.5187,0.5767,0.03,987634568,0.4968,0.1806,10.8984,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
18,citeseer,0.7276,0.8208,0.7276,0.6283,1.1016,0.6283,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.5627,0.5505,0.5147,0.5077,0.52,0.5747,0.03,987634568,0.4766,0.1727,11.0933,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
19,citeseer,0.7263,0.7838,0.7263,0.6417,1.0396,0.6417,0.9866,0.0302,0.9866,0.6684,1.7409,0.6684,0.5,0.53,0.5499,0.51,0.491,0.506,0.5665,0.13,1111088889,0.5062,0.1884,10.2251,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,452,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
20,citeseer,0.7263,0.7838,0.7263,0.6417,1.0396,0.6417,0.9866,0.0302,0.9866,0.6671,1.7409,0.6671,0.5,0.5467,0.5499,0.508,0.491,0.506,0.5665,0.13,1111088889,0.4822,0.1732,10.4068,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,452,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
