,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.721,0.8005,0.721,0.6698,1.0899,0.6698,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5787,0.5465,0.5374,0.4962,0.524,0.584,0.02,123454321,7.5561,0.156,1.2355,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,415,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,citeseer,0.7049,0.8396,0.7049,0.6457,1.0453,0.6457,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5427,0.5492,0.5153,0.5137,0.516,0.5713,0.03,246908642,7.2311,0.1493,1.2349,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,309,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,citeseer,0.7397,0.711,0.7397,0.6845,0.9938,0.6845,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5634,0.5619,0.528,0.519,0.522,0.5733,0.02,370362963,7.3342,0.1535,1.2359,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,citeseer,0.765,0.6936,0.765,0.6631,1.0477,0.6631,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.554,0.5652,0.5153,0.5144,0.516,0.586,0.02,493817284,7.2802,0.1586,1.2351,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,337,223,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,citeseer,0.7664,0.6631,0.7664,0.6604,1.0045,0.6604,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.5647,0.5692,0.5213,0.4763,0.5207,0.586,0.03,617271605,7.5723,0.1521,1.2351,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,349,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,citeseer,0.7543,0.7077,0.7543,0.6698,1.0169,0.6698,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5854,0.5665,0.5327,0.5191,0.5367,0.594,0.01,740725926,7.2659,0.153,1.2353,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,382,222,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,citeseer,0.6983,0.8198,0.6983,0.6444,1.038,0.6444,0.9853,0.0268,0.9853,0.6765,1.6721,0.6765,0.5,0.552,0.5592,0.5173,0.4962,0.514,0.5747,0.02,864180247,7.4297,0.1514,1.235,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,311,227,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,citeseer,0.7383,0.7128,0.7383,0.6738,1.0273,0.6738,0.984,0.0318,0.984,0.6564,1.765,0.6564,0.5,0.5713,0.5445,0.5314,0.5117,0.5387,0.5786,0.02,987634568,7.1903,0.1528,1.2352,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,362,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,citeseer,0.7423,0.7298,0.7423,0.6671,1.0238,0.6671,0.9866,0.0302,0.9866,0.6671,1.7409,0.6671,0.5,0.5474,0.5438,0.534,0.4977,0.5273,0.5747,0.01,1111088889,6.5637,0.1518,1.2352,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,359,224,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,citeseer,0.7517,0.7243,0.7517,0.6872,1.0280,0.6872,0.9866,0.0289,0.9866,0.6698,1.5881,0.6698,0.5,0.5867,0.5806,0.5307,0.4890,0.5267,0.5947,0.0300,1234543210,6.7151,0.1462,1.2351,0.0000,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,341,220,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
