,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8471,0.4406,0.8471,0.8287,0.545,0.8287,0.9628,0.1372,0.9628,0.8908,0.391,0.8908,0.5,0.51,0.5085,0.5088,0.509,0.5088,0.5153,0.32,123454321,0.7205,0.1845,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8215,0.591,0.8215,0.808,0.64,0.808,0.9615,0.1397,0.9615,0.8917,0.3952,0.8917,0.5,0.5041,0.5025,0.5036,0.5097,0.5088,0.5094,0.35,123454321,0.5567,0.1737,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,333,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8587,0.4307,0.8587,0.8164,0.601,0.8164,0.9583,0.1404,0.9583,0.8956,0.4388,0.8956,0.5,0.5048,0.5158,0.5036,0.5161,0.5083,0.5276,0.15,246908642,0.7906,0.1818,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,346,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.8393,0.5439,0.8393,0.8058,0.6524,0.8058,0.9583,0.144,0.9583,0.8963,0.4337,0.8963,0.5,0.5127,0.5122,0.5023,0.5122,0.5072,0.5197,0.27,246908642,0.576,0.1759,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,330,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.8771,0.3938,0.8771,0.8423,0.5457,0.8423,0.9612,0.1365,0.9612,0.9056,0.3552,0.9056,0.5,0.5066,0.5175,0.5044,0.5145,0.5156,0.5207,0.26,370362963,0.7525,0.5206,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,381,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.902,0.3467,0.902,0.863,0.4698,0.863,0.9509,0.1589,0.9509,0.8963,0.4041,0.8963,0.5,0.5093,0.5093,0.4915,0.5206,0.4963,0.5232,0.16,493817284,0.6959,0.1705,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,377,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8371,0.5526,0.8371,0.8106,0.6578,0.8106,0.9602,0.1383,0.9602,0.9047,0.3546,0.9047,0.5,0.5153,0.5117,0.5172,0.513,0.5094,0.5135,0.19,370362963,0.5592,0.1857,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.8565,0.5086,0.8565,0.8352,0.577,0.8352,0.9476,0.1617,0.9476,0.8963,0.4,0.8963,0.5,0.5109,0.5064,0.4954,0.5144,0.5029,0.5152,0.21,493817284,0.4202,0.1812,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,379,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.892,0.3671,0.892,0.8591,0.496,0.8591,0.9538,0.1548,0.9538,0.9021,0.389,0.9021,0.5,0.5122,0.5211,0.5036,0.5078,0.5216,0.5229,0.06,617271605,0.7685,0.4661,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,374,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8493,0.5443,0.8493,0.8222,0.63,0.8222,0.958,0.1484,0.958,0.904,0.3852,0.904,0.5,0.5076,0.5093,0.4989,0.5117,0.5148,0.5159,0.09,617271605,0.5727,0.1805,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,381,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
