,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8642,0.4369,0.8642,0.861,0.4559,0.861,0.9631,0.1383,0.9631,0.8911,0.3902,0.8911,0.5,0.5085,0.5126,0.4988,0.5107,0.502,0.5117,0.06,123454321,11.4918,0.1761,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8817,0.3977,0.8817,0.852,0.5052,0.852,0.9593,0.1403,0.9593,0.8963,0.4378,0.8963,0.5,0.5111,0.5158,0.5027,0.5188,0.5025,0.5174,0.07,246908642,10.831,0.1824,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,347,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8561,0.4263,0.8561,0.8436,0.504,0.8436,0.9618,0.1374,0.9618,0.9037,0.3537,0.9037,0.5,0.5053,0.5159,0.4991,0.5166,0.5099,0.5108,0.04,370362963,11.2761,0.1758,27.2776,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,459,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.881,0.3962,0.881,0.8697,0.4439,0.8697,0.9492,0.1601,0.9492,0.8956,0.4017,0.8956,0.5,0.5096,0.508,0.5028,0.5198,0.4998,0.5068,0.31,493817284,12.5187,0.1736,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,373,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.8752,0.4153,0.8752,0.8659,0.4733,0.8659,0.958,0.1508,0.958,0.9008,0.3851,0.9008,0.5,0.5201,0.5145,0.5057,0.511,0.5111,0.5162,0.01,617271605,11.436,0.1769,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,379,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.8716,0.4319,0.8716,0.8471,0.4791,0.8471,0.9602,0.1413,0.9602,0.8998,0.3815,0.8998,0.5,0.5253,0.5138,0.5111,0.5117,0.5166,0.5229,0.05,740725926,11.5226,0.176,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,419,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8655,0.4168,0.8655,0.8584,0.4668,0.8584,0.9547,0.1635,0.9547,0.8998,0.3822,0.8998,0.5,0.5051,0.5011,0.5053,0.5072,0.497,0.5066,0.3,864180247,10.9247,0.1838,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.8707,0.4265,0.8707,0.8536,0.4802,0.8536,0.9641,0.1385,0.9641,0.8982,0.4194,0.8982,0.5,0.5098,0.518,0.4949,0.5156,0.5018,0.5237,0.04,987634568,11.5963,0.1719,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,406,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.8729,0.4163,0.8729,0.8739,0.4134,0.8739,0.9551,0.146,0.9551,0.8875,0.4684,0.8875,0.5,0.5124,0.5079,0.509,0.5054,0.5073,0.5061,0.06,1111088889,13.2146,0.1766,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8781,0.4014,0.8781,0.8552,0.4711,0.8552,0.9544,0.1466,0.9544,0.894,0.4215,0.894,0.5,0.5073,0.5111,0.5014,0.5118,0.5124,0.5229,0.14,1234543210,13.0608,0.1741,28.9144,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,10,1,3,500,369,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,computers,0.8723,0.4321,0.8723,0.8639,0.4445,0.8639,0.9615,0.1393,0.9615,0.8924,0.3961,0.8924,0.5,0.5082,0.5135,0.5125,0.5155,0.5185,0.5127,0.0600,123454321,25.3884,0.1735,78.7500,0.0000,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,10,1,3,500,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
