,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8503,0.4679,0.8503,0.8507,0.4796,0.8507,0.9631,0.1356,0.9631,0.8904,0.3928,0.8904,0.5,0.5074,0.51,0.5022,0.5101,0.5015,0.5114,0.08,123454321,13.4152,0.1457,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,339,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8784,0.4098,0.8784,0.8491,0.5257,0.8491,0.9567,0.1455,0.9567,0.8972,0.433,0.8972,0.5,0.5095,0.5193,0.5107,0.5188,0.503,0.5157,0.23,246908642,13.4119,0.1447,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,330,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8594,0.4398,0.8594,0.8442,0.5137,0.8442,0.9606,0.1383,0.9606,0.9047,0.3561,0.9047,0.5,0.5125,0.5182,0.5106,0.5146,0.5096,0.5116,0.33,370362963,13.6726,0.1485,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,387,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.8771,0.4068,0.8771,0.8723,0.4565,0.8723,0.947,0.1644,0.947,0.8953,0.3981,0.8953,0.5,0.5085,0.5083,0.5065,0.5209,0.504,0.5063,0.21,493817284,14.7374,0.1649,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,373,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.8736,0.4305,0.8736,0.8594,0.482,0.8594,0.957,0.1494,0.957,0.9001,0.3878,0.9001,0.5,0.513,0.5181,0.5091,0.5091,0.5109,0.5176,0.06,617271605,14.7204,0.1666,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,386,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.8804,0.4208,0.8804,0.8539,0.4703,0.8539,0.9593,0.1412,0.9593,0.9021,0.3811,0.9021,0.5,0.5185,0.5196,0.5229,0.5108,0.5203,0.5221,0.07,740725926,14.6573,0.1665,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,420,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8581,0.4398,0.8581,0.8494,0.493,0.8494,0.9547,0.1605,0.9547,0.8998,0.3831,0.8998,0.5,0.4967,0.5029,0.5006,0.508,0.4909,0.5066,0.33,864180247,15.3938,0.1506,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,342,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.8755,0.4168,0.8755,0.8562,0.4773,0.8562,0.9654,0.1354,0.9654,0.8998,0.4228,0.8998,0.5,0.5101,0.5146,0.507,0.5135,0.5065,0.5174,0.04,987634568,14.6529,0.152,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,424,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.8674,0.4325,0.8674,0.8688,0.4179,0.8688,0.9583,0.1391,0.9583,0.8875,0.4793,0.8875,0.5,0.5056,0.5059,0.5056,0.4993,0.4997,0.5041,0.03,1111088889,14.7712,0.1552,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,391,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8736,0.4135,0.8736,0.8526,0.4889,0.8526,0.9518,0.1487,0.9518,0.9001,0.406,0.9001,0.5,0.5001,0.5179,0.5049,0.5119,0.5103,0.5228,0.13,1234543210,16.1272,0.1444,1.3249,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,360,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
