,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8442,0.5535,0.8442,0.8261,0.6019,0.8261,0.9635,0.1386,0.9635,0.8933,0.3916,0.8933,0.5,0.5093,0.5062,0.5106,0.5094,0.5094,0.5096,0.11,123454321,1.4187,0.1895,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,334,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8409,0.5164,0.8409,0.8142,0.6232,0.8142,0.9596,0.14,0.9596,0.8933,0.4396,0.8933,0.5,0.5015,0.508,0.503,0.5114,0.5046,0.5169,0.25,246908642,1.4623,0.1847,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,351,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8445,0.5271,0.8445,0.8112,0.6294,0.8112,0.9615,0.1385,0.9615,0.9043,0.3526,0.9043,0.5,0.5082,0.5127,0.5034,0.5124,0.5094,0.5145,0.23,370362963,1.5594,0.1857,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,371,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.8629,0.4999,0.8629,0.8361,0.5704,0.8361,0.9476,0.1639,0.9476,0.8956,0.3988,0.8956,0.5,0.5062,0.5094,0.4905,0.518,0.4936,0.5147,0.21,493817284,1.5665,0.1801,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.849,0.5298,0.849,0.8306,0.6129,0.8306,0.9551,0.1505,0.9551,0.905,0.3844,0.905,0.5,0.503,0.5122,0.5047,0.5068,0.5051,0.5146,0.09,617271605,1.5875,0.175,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,381,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.8594,0.5075,0.8594,0.8355,0.58,0.8355,0.9602,0.1391,0.9602,0.9034,0.3846,0.9034,0.5,0.5103,0.5136,0.5065,0.512,0.5067,0.5195,0.16,740725926,1.576,0.1774,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,431,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8558,0.4867,0.8558,0.8316,0.5729,0.8316,0.9541,0.164,0.9541,0.9001,0.3807,0.9001,0.5,0.5053,0.4967,0.4926,0.5029,0.502,0.5142,0.26,864180247,1.6359,0.1839,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.848,0.5106,0.848,0.81,0.6164,0.81,0.9622,0.1464,0.9622,0.8988,0.4109,0.8988,0.5,0.5091,0.5182,0.5038,0.5098,0.5092,0.5205,0.1,987634568,1.6008,0.186,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,365,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.8539,0.5166,0.8539,0.8426,0.5674,0.8426,0.9593,0.1361,0.9593,0.8875,0.4825,0.8875,0.5,0.5083,0.5031,0.4973,0.4932,0.4965,0.5119,0.17,1111088889,1.6229,0.1854,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,407,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8558,0.4793,0.8558,0.8235,0.6024,0.8235,0.9528,0.1477,0.9528,0.8998,0.4072,0.8998,0.5,0.5075,0.5036,0.4993,0.5169,0.5033,0.5207,0.2100,1234543210,1.6012,0.1754,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,365,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
