,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8965,0.3449,0.8965,0.871,0.4316,0.871,0.9635,0.1374,0.9635,0.8895,0.3934,0.8895,0.5,0.5125,0.515,0.5158,0.5083,0.5075,0.5189,0.11,123454321,10.8661,0.1761,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,336,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.9056,0.3102,0.9056,0.862,0.4587,0.862,0.957,0.1409,0.957,0.8943,0.44,0.8943,0.5,0.5106,0.5141,0.4996,0.5158,0.5001,0.5302,0.13,246908642,11.3287,0.1779,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,349,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8891,0.3386,0.8891,0.8497,0.4582,0.8497,0.9615,0.1363,0.9615,0.9027,0.3541,0.9027,0.5,0.5127,0.5206,0.5027,0.5156,0.5085,0.5205,0.26,370362963,12.0616,0.1709,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,383,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.9066,0.3147,0.9066,0.873,0.427,0.873,0.9463,0.1604,0.9463,0.8975,0.4033,0.8975,0.5,0.5014,0.5125,0.4942,0.5195,0.4989,0.5216,0.17,493817284,11.45,0.1758,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,372,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.9007,0.3366,0.9007,0.8652,0.4388,0.8652,0.9564,0.1489,0.9564,0.903,0.3815,0.903,0.5,0.5169,0.5232,0.5051,0.5119,0.5177,0.5229,0.15,617271605,11.994,0.1736,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.891,0.3417,0.891,0.8504,0.4465,0.8504,0.9602,0.1417,0.9602,0.9011,0.3804,0.9011,0.5,0.5124,0.5212,0.5048,0.5119,0.5157,0.5279,0.06,740725926,11.6919,0.175,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,421,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8943,0.3212,0.8943,0.8639,0.4288,0.8639,0.9538,0.1647,0.9538,0.9005,0.3799,0.9005,0.5,0.5105,0.5017,0.4977,0.5077,0.5007,0.5171,0.29,864180247,13.4202,0.1738,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.9014,0.3227,0.9014,0.8617,0.4378,0.8617,0.9628,0.1377,0.9628,0.8998,0.4187,0.8998,0.5,0.515,0.5261,0.5057,0.5132,0.5083,0.5255,0.07,987634568,11.6159,0.1822,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,414,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.9037,0.3274,0.9037,0.8736,0.4049,0.8736,0.9573,0.1393,0.9573,0.8891,0.4819,0.8891,0.5,0.5075,0.508,0.4954,0.4985,0.4998,0.5158,0.23,1111088889,11.7701,0.1853,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,391,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8991,0.3224,0.8991,0.8675,0.4385,0.8675,0.9554,0.1458,0.9554,0.9001,0.4084,0.9001,0.5,0.5106,0.5179,0.5117,0.5139,0.5096,0.5331,0.11,1234543210,11.6707,0.1698,11.6945,0.0,False,True,False,1.0,2.0,saint_rw,0.2,10,30.0,10,1,3,500,369,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,computers,0.9024,0.3208,0.9024,0.873,0.4298,0.873,0.9625,0.137,0.9625,0.8911,0.3911,0.8911,0.5,0.51,0.5145,0.507,0.5114,0.4973,0.5237,0.11,123454321,4.5422,0.1511,28.9467,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,computers,0.9176,0.2818,0.9176,0.8672,0.4482,0.8672,0.9586,0.1412,0.9586,0.8933,0.4403,0.8933,0.5,0.5071,0.5177,0.5036,0.5187,0.5098,0.5331,0.12,246908642,10.5446,0.1809,28.9467,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,347,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,computers,0.8943,0.3169,0.8943,0.8559,0.4553,0.8559,0.9615,0.1375,0.9615,0.9021,0.3533,0.9021,0.5,0.5129,0.5209,0.5064,0.5155,0.5075,0.5202,0.29,370362963,25.1711,0.1754,28.9467,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,377,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,computers,0.9137,0.2899,0.9137,0.8749,0.4166,0.8749,0.9467,0.164,0.9467,0.893,0.4128,0.893,0.5,0.5079,0.5159,0.5025,0.5196,0.4992,0.5231,0.16,493817284,25.2884,0.1734,28.9467,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,computers,0.9082,0.3103,0.9082,0.8662,0.4333,0.8662,0.9567,0.1521,0.9567,0.9047,0.3790,0.9047,0.5,0.5212,0.5232,0.5009,0.5107,0.5120,0.5273,0.0500,617271605,26.6032,0.1743,28.9467,0.0000,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,378,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
