,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8881,0.3949,0.8881,0.8749,0.4642,0.8749,0.9618,0.1391,0.9618,0.8901,0.3925,0.8901,0.5,0.5126,0.5172,0.5077,0.5081,0.5098,0.5185,0.06,123454321,3.426,0.185,11.7573,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,333,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8846,0.3987,0.8846,0.8691,0.4706,0.8691,0.9644,0.1335,0.9644,0.8901,0.3941,0.8901,0.5,0.5012,0.5124,0.5078,0.5115,0.5116,0.5171,0.11,123454321,3.272,0.18,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,348,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8917,0.3677,0.8917,0.8649,0.4843,0.8649,0.9586,0.1384,0.9586,0.8966,0.4409,0.8966,0.5,0.5098,0.5141,0.5025,0.5179,0.4989,0.5219,0.07,246908642,3.2029,0.1816,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,355,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.8674,0.4094,0.8674,0.8471,0.4946,0.8471,0.9593,0.1372,0.9593,0.9017,0.3532,0.9017,0.5,0.5151,0.5167,0.5065,0.5176,0.5177,0.5156,0.02,370362963,3.2779,0.1898,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,382,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.8801,0.3965,0.8801,0.8646,0.4544,0.8646,0.9496,0.16,0.9496,0.8959,0.4055,0.8959,0.5,0.5117,0.5087,0.5023,0.519,0.4996,0.5132,0.16,493817284,3.3481,0.1752,11.7357,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,485,374,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.8804,0.3996,0.8804,0.8617,0.4607,0.8617,0.9573,0.148,0.9573,0.9008,0.3899,0.9008,0.5,0.5151,0.519,0.5053,0.5102,0.5129,0.518,0.03,617271605,3.2573,0.1795,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,383,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8833,0.3771,0.8833,0.8526,0.4718,0.8526,0.9583,0.1444,0.9583,0.904,0.3858,0.904,0.5,0.5106,0.52,0.4999,0.5116,0.5144,0.5205,0.08,740725926,3.2386,0.1888,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,425,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.894,0.3738,0.894,0.871,0.4416,0.871,0.9541,0.1653,0.9541,0.8992,0.3824,0.8992,0.5,0.5001,0.5019,0.4946,0.5088,0.5015,0.5126,0.25,864180247,3.282,0.1844,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.8846,0.4018,0.8846,0.8529,0.4803,0.8529,0.9589,0.1477,0.9589,0.8972,0.4118,0.8972,0.5,0.5066,0.5187,0.5032,0.5143,0.5026,0.5214,0.03,987634568,3.2632,0.1747,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,364,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8846,0.3808,0.8846,0.8697,0.4373,0.8697,0.9596,0.1358,0.9596,0.8885,0.4917,0.8885,0.5,0.5033,0.5048,0.4973,0.5033,0.4993,0.5125,0.02,1111088889,3.266,0.1808,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,415,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,computers,0.8726,0.3927,0.8726,0.8416,0.5042,0.8416,0.9528,0.1479,0.9528,0.8995,0.4085,0.8995,0.5,0.5024,0.5114,0.5041,0.5138,0.5031,0.5241,0.17,1234543210,3.2643,0.1735,11.9608,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,354,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,computers,0.9062,0.3262,0.9062,0.8788,0.4533,0.8788,0.9622,0.1369,0.9622,0.8933,0.3942,0.8933,0.5,0.5118,0.5153,0.5061,0.5128,0.5119,0.5235,0.06,123454321,4.8316,0.1873,78.7162,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,498,336,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,computers,0.9127,0.3094,0.9127,0.8743,0.4657,0.8743,0.9589,0.1441,0.9589,0.8956,0.4336,0.8956,0.5,0.5153,0.5167,0.5001,0.5216,0.5106,0.5263,0.11,246908642,4.7657,0.1829,78.957,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,330,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,computers,0.9004,0.3354,0.9004,0.8765,0.4503,0.8765,0.9631,0.139,0.9631,0.8914,0.3889,0.8914,0.5,0.5148,0.5171,0.5159,0.5094,0.5117,0.5245,0.07,123454321,4.8329,0.1777,29.0132,0.0,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,500,334,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,computers,0.9007,0.3386,0.9007,0.8652,0.4567,0.8652,0.9606,0.1401,0.9606,0.904,0.3552,0.904,0.5,0.5179,0.5216,0.5148,0.5169,0.5077,0.5192,0.21,370362963,4.9664,0.196,78.957,0.0,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,368,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
