,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8707,0.439,0.8707,0.8662,0.4493,0.8662,0.9622,0.1389,0.9622,0.8901,0.3947,0.8901,0.5,0.5088,0.5119,0.5044,0.5107,0.5062,0.513,0.06,123454321,27.3808,0.1438,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.8881,0.389,0.8881,0.8623,0.4971,0.8623,0.9583,0.1439,0.9583,0.8966,0.4338,0.8966,0.5,0.5161,0.5184,0.5015,0.5177,0.5006,0.5187,0.13,246908642,26.8645,0.1453,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,330,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8694,0.4073,0.8694,0.8523,0.496,0.8523,0.9606,0.1379,0.9606,0.9043,0.3568,0.9043,0.5,0.5101,0.5133,0.5052,0.5125,0.5044,0.5116,0.26,370362963,24.3557,0.1456,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,377,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.8807,0.3893,0.8807,0.8707,0.4414,0.8707,0.9476,0.1607,0.9476,0.8956,0.3998,0.8956,0.5,0.5056,0.5087,0.4957,0.5187,0.5051,0.5077,0.16,493817284,24.3992,0.1528,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,375,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.881,0.4082,0.881,0.8659,0.4728,0.8659,0.9576,0.1507,0.9576,0.9037,0.3815,0.9037,0.5,0.5067,0.5156,0.5025,0.5112,0.512,0.5156,0.11,617271605,25.6452,0.1456,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,367,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.8726,0.4213,0.8726,0.8484,0.4719,0.8484,0.9583,0.1407,0.9583,0.9043,0.3857,0.9043,0.5,0.524,0.5153,0.5101,0.5119,0.5141,0.5216,0.05,740725926,24.083,0.1439,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,422,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8658,0.4144,0.8658,0.8591,0.4663,0.8591,0.9538,0.1651,0.9538,0.9005,0.3805,0.9005,0.5,0.5003,0.5079,0.4967,0.5074,0.4849,0.5077,0.31,864180247,24.7967,0.1449,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,332,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.8723,0.4195,0.8723,0.8584,0.4804,0.8584,0.9618,0.1468,0.9618,0.9008,0.4096,0.9008,0.5,0.5195,0.5142,0.5017,0.5111,0.5048,0.5229,0.03,987634568,24.6359,0.1503,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,369,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.8749,0.417,0.8749,0.8756,0.4092,0.8756,0.9544,0.1455,0.9544,0.8798,0.4934,0.8798,0.5,0.5061,0.5098,0.5085,0.5028,0.5072,0.5083,0.04,1111088889,24.7946,0.1491,1.3954,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,402,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.8833,0.3942,0.8833,0.8568,0.4648,0.8568,0.9544,0.1466,0.9544,0.8995,0.4066,0.8995,0.5,0.5083,0.5142,0.5035,0.5124,0.4988,0.5244,0.1200,1234543210,24.6885,0.1437,1.3954,0.0000,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,362,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
