,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.8982,0.3229,0.8982,0.8672,0.4269,0.8672,0.9618,0.1396,0.9618,0.8924,0.3902,0.8924,0.5,0.5138,0.5163,0.508,0.5057,0.5104,0.5236,0.1,123454321,67.0951,0.1856,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,333,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,computers,0.9062,0.2907,0.9062,0.861,0.4586,0.861,0.958,0.141,0.958,0.8937,0.4398,0.8937,0.5,0.515,0.5138,0.5012,0.5167,0.5062,0.531,0.13,246908642,67.6899,0.19,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,347,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,computers,0.8962,0.3124,0.8962,0.8588,0.4456,0.8588,0.9625,0.1372,0.9625,0.9021,0.3533,0.9021,0.5,0.5109,0.5198,0.5116,0.5169,0.5062,0.5215,0.26,370362963,67.5343,0.178,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,computers,0.9101,0.2962,0.9101,0.8743,0.4252,0.8743,0.9479,0.1614,0.9479,0.8959,0.3984,0.8959,0.5,0.5067,0.5158,0.4981,0.5225,0.5057,0.5224,0.16,493817284,74.6429,0.1776,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,381,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,computers,0.9075,0.312,0.9075,0.8668,0.4336,0.8668,0.9547,0.1518,0.9547,0.9047,0.3836,0.9047,0.5,0.5151,0.5277,0.5122,0.5099,0.5153,0.5271,0.1,617271605,82.2457,0.177,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,371,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,computers,0.903,0.3108,0.903,0.8565,0.4321,0.8565,0.9599,0.14,0.9599,0.8992,0.3819,0.8992,0.5,0.5203,0.5248,0.5062,0.5112,0.5146,0.5319,0.07,740725926,88.096,0.1881,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,423,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,computers,0.8991,0.3038,0.8991,0.8665,0.4367,0.8665,0.956,0.16,0.956,0.9008,0.384,0.9008,0.5,0.5045,0.5077,0.5015,0.5093,0.4972,0.5184,0.16,864180247,86.6364,0.1796,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,computers,0.913,0.289,0.913,0.8736,0.426,0.8736,0.9631,0.136,0.9631,0.8959,0.4261,0.8959,0.5,0.5112,0.5237,0.5062,0.5096,0.5185,0.5316,0.06,987634568,91.1495,0.1808,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,420,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,computers,0.9114,0.3012,0.9114,0.8827,0.387,0.8827,0.9586,0.1376,0.9586,0.8885,0.4817,0.8885,0.5,0.5127,0.5116,0.5052,0.499,0.5098,0.5182,0.07,1111088889,96.7543,0.1874,1.3964,0.0,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,399,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,computers,0.9056,0.3004,0.9056,0.8678,0.4298,0.8678,0.9509,0.1469,0.9509,0.8982,0.4113,0.8982,0.5,0.5048,0.5172,0.5109,0.5140,0.5056,0.5362,0.1300,1234543210,97.6826,0.1756,1.3964,0.0000,False,True,False,1.0,2.0,saint_rw,0.4,10,30.0,10,1,3,500,358,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
