,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.867,0.5521,0.867,0.7094,0.9923,0.7094,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5074,0.5337,0.5025,0.523,0.5033,0.6026,0.18,123454321,0.1952,0.1575,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.8522,0.6419,0.8522,0.7028,1.0155,0.7028,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5041,0.5164,0.5041,0.5246,0.4984,0.601,0.21,123454321,0.2617,0.1608,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.8489,0.7091,0.8489,0.7291,0.9462,0.7291,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5025,0.5049,0.5033,0.5131,0.5041,0.5739,0.18,246908642,0.1918,0.1625,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.8177,0.7117,0.8177,0.7011,0.9737,0.7011,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5082,0.5181,0.5,0.4951,0.4992,0.5673,0.24,370362963,0.2178,0.1485,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.8637,0.6601,0.8637,0.7521,0.9392,0.7521,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5033,0.5213,0.5016,0.5205,0.5016,0.5928,0.22,493817284,0.2232,0.1594,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8522,0.6768,0.8522,0.7274,0.9609,0.7274,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5057,0.5197,0.5008,0.5082,0.5025,0.5813,0.23,617271605,0.2027,0.1439,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.8489,0.641,0.8489,0.7094,0.9636,0.7094,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5148,0.5148,0.5,0.532,0.5016,0.5846,0.27,740725926,0.2273,0.168,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.844,0.6866,0.844,0.711,0.9748,0.711,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.4984,0.5131,0.5025,0.5082,0.5016,0.5772,0.22,864180247,0.2041,0.1575,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.8079,0.7155,0.8079,0.6585,1.0695,0.6585,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5033,0.5238,0.5033,0.5337,0.5016,0.6076,0.22,987634568,0.2241,0.1433,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.8522,0.6521,0.8522,0.7209,0.9416,0.7209,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5016,0.5205,0.5,0.4984,0.5025,0.5788,0.26,1111088889,0.2148,0.1607,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
10,cora,0.8424,0.6635,0.8424,0.7094,0.9736,0.7094,1.0,0.0084,1.0,0.7849,0.8811,0.7849,0.5,0.5016,0.509,0.5,0.5049,0.5016,0.5829,0.24,1234543210,0.2272,0.1545,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
11,cora,0.9343,0.3384,0.9343,0.7553,0.8326,0.7553,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5287,0.5599,0.5033,0.5271,0.5131,0.6125,0.16,123454321,0.538,0.1691,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
12,cora,0.913,0.3959,0.913,0.7816,0.7493,0.7816,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5057,0.564,0.5008,0.5123,0.4992,0.6059,0.12,246908642,0.4579,0.1833,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
13,cora,0.8998,0.3897,0.8998,0.7553,0.7794,0.7553,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5148,0.5599,0.5172,0.5057,0.5148,0.5961,0.2,370362963,0.4637,0.1805,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
14,cora,0.9179,0.3696,0.9179,0.7816,0.7476,0.7816,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.523,0.5665,0.5057,0.5312,0.5066,0.6141,0.15,493817284,0.5281,0.1831,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
15,cora,0.9195,0.3635,0.9195,0.7635,0.7592,0.7635,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5452,0.5608,0.5074,0.5008,0.5115,0.6002,0.11,617271605,0.5324,0.1824,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
16,cora,0.908,0.3641,0.908,0.7471,0.7892,0.7471,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5197,0.5649,0.5123,0.532,0.5049,0.6018,0.23,740725926,0.3379,0.1782,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
17,cora,0.9146,0.3864,0.9146,0.7603,0.7645,0.7603,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5148,0.5517,0.5016,0.4984,0.5066,0.6026,0.11,864180247,0.5159,0.1826,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
18,cora,0.8998,0.4113,0.8998,0.734,0.8592,0.734,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5263,0.569,0.4967,0.5255,0.5082,0.6149,0.14,987634568,0.4869,0.1795,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
19,cora,0.9064,0.3586,0.9064,0.7767,0.7464,0.7767,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5238,0.5591,0.5099,0.5033,0.5099,0.6166,0.15,1111088889,0.5276,0.1735,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
20,cora,0.9146,0.3656,0.9146,0.7570,0.7842,0.7570,1.0000,0.0084,1.0000,0.7849,0.8811,0.7849,0.5,0.5115,0.5476,0.5115,0.5041,0.5082,0.6059,0.1900,1234543210,0.5482,0.1734,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
