,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.8079,0.5561,0.8079,0.7323,0.8463,0.7323,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5484,0.5706,0.5304,0.5263,0.5287,0.5878,0.06,123454321,3.0631,0.1492,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.7915,0.6345,0.7915,0.7356,0.7846,0.7356,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5222,0.578,0.514,0.5107,0.5115,0.5788,0.07,246908642,2.9033,0.1491,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.8227,0.6111,0.8227,0.7438,0.7856,0.7438,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5427,0.5722,0.5222,0.5025,0.5222,0.5747,0.07,370362963,2.7707,0.1485,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.8112,0.6552,0.8112,0.7258,0.8578,0.7258,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5369,0.5673,0.5123,0.5107,0.5172,0.5846,0.11,493817284,2.7471,0.1471,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.8161,0.5501,0.8161,0.7685,0.7585,0.7685,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5649,0.5681,0.5181,0.5025,0.5222,0.5772,0.07,617271605,2.8423,0.1572,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8621,0.5091,0.8621,0.7668,0.7492,0.7668,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5427,0.5772,0.5115,0.5312,0.5197,0.5928,0.1,740725926,2.7581,0.1514,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.8374,0.5593,0.8374,0.757,0.7798,0.757,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5402,0.5681,0.5213,0.4975,0.5189,0.5772,0.06,864180247,2.9137,0.1563,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.775,0.6397,0.775,0.7028,0.9119,0.7028,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5361,0.578,0.5156,0.5238,0.5115,0.5961,0.11,987634568,2.7819,0.1465,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.8424,0.5083,0.8424,0.7865,0.7115,0.7865,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.555,0.5977,0.5296,0.509,0.5345,0.6026,0.06,1111088889,2.6811,0.1458,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.8292,0.5854,0.8292,0.7406,0.8558,0.7406,1.0,0.0084,1.0,0.7849,0.8811,0.7849,0.5,0.5255,0.5649,0.5213,0.5,0.5181,0.5895,0.09,1234543210,2.7665,0.1497,1.1417,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
