,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.8062,0.6495,0.8062,0.734,0.9048,0.734,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5271,0.5575,0.514,0.5312,0.5107,0.587,0.12,123454321,2.3621,0.1505,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.7849,0.7413,0.7849,0.7356,0.8773,0.7356,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5041,0.5369,0.5025,0.5025,0.5033,0.5731,0.11,246908642,2.2552,0.1639,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.803,0.7031,0.803,0.7652,0.861,0.7652,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5156,0.5468,0.5049,0.4934,0.5049,0.569,0.09,370362963,2.6639,0.1736,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.78,0.7592,0.78,0.7176,0.9416,0.7176,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5197,0.5427,0.5074,0.5074,0.5049,0.5755,0.1,493817284,2.6545,0.1692,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.8194,0.6697,0.8194,0.7504,0.8536,0.7504,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5296,0.5575,0.5057,0.5082,0.5033,0.569,0.09,617271605,2.6778,0.1688,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8374,0.6259,0.8374,0.7553,0.848,0.7553,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5246,0.5468,0.5074,0.5222,0.5057,0.5895,0.16,740725926,2.0269,0.1695,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.8276,0.6669,0.8276,0.7537,0.8613,0.7537,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5123,0.5501,0.5074,0.5049,0.5025,0.569,0.21,864180247,2.4051,0.1684,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.7685,0.7428,0.7685,0.7028,0.9947,0.7028,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.5033,0.5369,0.5066,0.5213,0.5049,0.592,0.14,987634568,2.6291,0.1737,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.8309,0.6267,0.8309,0.7865,0.8121,0.7865,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5197,0.5657,0.5074,0.5115,0.5082,0.5821,0.11,1111088889,2.6134,0.1737,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.803,0.7246,0.803,0.7077,0.9564,0.7077,1.0,0.0084,1.0,0.7849,0.8811,0.7849,0.5,0.509,0.532,0.5008,0.5164,0.5008,0.587,0.16,1234543210,2.5001,0.1708,10.7358,0.0002,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
