,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.78,0.7268,0.78,0.6946,0.9494,0.6946,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5148,0.5279,0.5074,0.5419,0.5074,0.5657,0.13,123454321,0.4371,0.1745,10.7573,0.0002,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.78,0.7308,0.78,0.6913,0.9545,0.6913,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5148,0.5279,0.5082,0.5419,0.5074,0.5657,0.14,123454321,0.4218,0.1762,10.9484,0.0002,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.7652,0.8782,0.7652,0.7192,0.9855,0.7192,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5123,0.5328,0.5057,0.5205,0.5033,0.5558,0.19,246908642,0.4405,0.1729,10.7573,0.0002,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.8686,0.4397,0.8686,0.7734,0.7554,0.7734,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5484,0.5739,0.5131,0.5304,0.5189,0.5903,0.16,123454321,0.6424,0.1818,27.3534,0.0002,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.7635,0.8818,0.7635,0.7258,0.9899,0.7258,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5148,0.5328,0.5049,0.5222,0.5033,0.5608,0.18,246908642,0.4183,0.1751,10.9484,0.0002,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8539,0.5093,0.8539,0.7898,0.7103,0.7898,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5369,0.5706,0.5172,0.5115,0.5181,0.587,0.06,246908642,0.6386,0.173,27.3534,0.0002,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.7701,0.7804,0.7701,0.7077,0.9228,0.7077,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5115,0.5419,0.5041,0.4869,0.5049,0.5575,0.08,370362963,0.4332,0.1728,10.7573,0.0002,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.7701,0.7804,0.7701,0.7077,0.9228,0.7077,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5123,0.5419,0.5041,0.4869,0.5049,0.5575,0.08,370362963,0.4087,0.1741,10.9484,0.0002,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.7603,0.8162,0.7603,0.7094,0.9747,0.7094,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.514,0.5328,0.5049,0.5123,0.5057,0.5525,0.09,493817284,0.4316,0.1722,10.7573,0.0002,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.8571,0.4994,0.8571,0.7553,0.7439,0.7553,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5131,0.5698,0.5189,0.4992,0.5123,0.5805,0.06,370362963,0.6304,0.1819,27.3534,0.0002,False,True,False,1.0,2.0,occurance,0.4,10,30.0,5,50,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
