,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cora,0.8177,0.5444,0.8177,0.7422,0.8452,0.7422,1.0,0.0125,1.0,0.7816,0.9538,0.7816,0.5,0.5501,0.5714,0.5419,0.5263,0.5369,0.5911,0.1,123454321,5.8437,0.1493,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cora,0.7947,0.6388,0.7947,0.7438,0.7745,0.7438,0.9984,0.0128,0.9984,0.8161,0.8764,0.8161,0.5,0.5181,0.5796,0.509,0.5115,0.5115,0.5837,0.08,246908642,6.1539,0.1542,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cora,0.8161,0.603,0.8161,0.7521,0.7809,0.7521,0.9901,0.0271,0.9901,0.7947,0.8959,0.7947,0.5,0.5468,0.5714,0.5263,0.5099,0.5271,0.5772,0.07,370362963,5.8903,0.1528,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,251,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cora,0.7931,0.6517,0.7931,0.7225,0.8693,0.7225,0.9984,0.0102,0.9984,0.78,1.0744,0.78,0.5,0.5435,0.5657,0.514,0.5123,0.5131,0.587,0.11,493817284,6.1146,0.154,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cora,0.8161,0.5561,0.8161,0.7652,0.7643,0.7652,0.9967,0.0167,0.9967,0.7603,0.9925,0.7603,0.5,0.5599,0.5722,0.5189,0.5107,0.5222,0.5755,0.05,617271605,5.9354,0.1522,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,244,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cora,0.8506,0.5058,0.8506,0.7537,0.7559,0.7537,0.9984,0.0133,0.9984,0.7783,1.0101,0.7783,0.5,0.5542,0.5706,0.5099,0.5279,0.5123,0.5961,0.1,740725926,6.1108,0.1562,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,245,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cora,0.8243,0.557,0.8243,0.7521,0.7805,0.7521,0.9984,0.0144,0.9984,0.8062,0.8154,0.8062,0.5,0.5402,0.5624,0.5263,0.4959,0.5189,0.5747,0.06,864180247,5.8823,0.1574,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,250,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cora,0.78,0.64,0.78,0.7159,0.8983,0.7159,0.9967,0.0127,0.9967,0.78,0.8663,0.78,0.5,0.546,0.5796,0.5189,0.5148,0.509,0.5985,0.12,987634568,6.1431,0.1488,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cora,0.8374,0.5066,0.8374,0.7685,0.7151,0.7685,0.9967,0.0166,0.9967,0.7997,0.8913,0.7997,0.5,0.5575,0.6051,0.5304,0.5148,0.5369,0.5993,0.05,1111088889,6.1179,0.1526,1.2126,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,243,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cora,0.8210,0.5851,0.8210,0.7209,0.8685,0.7209,1.0000,0.0084,1.0000,0.7849,0.8811,0.7849,0.5,0.5304,0.5755,0.5230,0.5057,0.5197,0.5936,0.0600,1234543210,6.0181,0.1614,1.2126,0.0000,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
