,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cs,0.9159,0.3118,0.9159,0.8909,0.3869,0.8909,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5103,0.5093,0.5042,0.5119,0.5089,0.5188,0.16,123454321,1.3881,0.3575,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,cs,0.9193,0.2949,0.9193,0.8872,0.3741,0.8872,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5079,0.505,0.513,0.5127,0.5065,0.5167,0.09,246908642,1.4114,0.3193,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,252,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,cs,0.9144,0.3121,0.9144,0.8887,0.3899,0.8887,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.505,0.5055,0.5044,0.5097,0.505,0.5152,0.18,370362963,1.3644,0.3449,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,cs,0.912,0.3234,0.912,0.8822,0.4193,0.8822,0.9995,0.0087,0.9995,0.9042,0.4064,0.9042,0.5,0.5,0.5025,0.5008,0.5065,0.5023,0.517,0.2,493817284,1.265,0.3221,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,253,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,cs,0.9161,0.2992,0.9161,0.8991,0.3713,0.8991,0.9993,0.0094,0.9993,0.9059,0.4173,0.9059,0.5,0.5023,0.5073,0.5053,0.5119,0.5074,0.5135,0.14,617271605,1.1853,0.3188,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,cs,0.9188,0.2809,0.9188,0.8814,0.3977,0.8814,0.9981,0.0113,0.9981,0.9069,0.4118,0.9069,0.5,0.5067,0.5061,0.5086,0.5061,0.5053,0.5211,0.13,740725926,1.3735,0.3186,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,261,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,cs,0.8586,0.609,0.8586,0.8407,0.6477,0.8407,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.501,0.5056,0.5002,0.5124,0.4972,0.5127,0.19,123454321,0.5934,0.199,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,cs,0.854,0.5768,0.854,0.8404,0.6125,0.8404,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5048,0.5085,0.5021,0.5139,0.499,0.5127,0.02,246908642,0.6047,0.1954,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,252,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,cs,0.9142,0.2947,0.9142,0.8783,0.4214,0.8783,0.999,0.0096,0.999,0.9032,0.4108,0.9032,0.5,0.5095,0.5098,0.5089,0.5145,0.5086,0.5227,0.15,864180247,1.3208,0.3422,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,266,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,cs,0.8555,0.5998,0.8555,0.8463,0.6236,0.8463,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.4995,0.4975,0.4993,0.5101,0.5036,0.5119,0.11,370362963,0.5782,0.1988,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
