,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cs,0.921,0.2754,0.921,0.9057,0.323,0.9057,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5115,0.5092,0.5055,0.5129,0.5131,0.5149,0.01,123454321,16.6081,0.1685,1.3541,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,341,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,cs,0.9248,0.2658,0.9248,0.9137,0.3188,0.9137,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5109,0.5063,0.5042,0.5102,0.5087,0.5104,0.01,246908642,16.6146,0.1551,1.3537,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,324,252,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,cs,0.9243,0.2813,0.9243,0.9103,0.3213,0.9103,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.5112,0.5129,0.5045,0.5126,0.5064,0.516,0.01,370362963,17.3737,0.1647,1.3548,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,380,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,cs,0.9239,0.2624,0.9239,0.9086,0.3627,0.9086,0.9995,0.0087,0.9995,0.9042,0.4064,0.9042,0.5,0.5055,0.5012,0.5052,0.5114,0.5048,0.5104,0.01,493817284,17.1221,0.1625,1.3568,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,477,253,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,cs,0.9285,0.2567,0.9285,0.9132,0.3165,0.9132,0.9993,0.0094,0.9993,0.9059,0.4173,0.9059,0.5,0.5053,0.5076,0.504,0.5103,0.5072,0.5102,0.01,617271605,16.8613,0.1507,1.3558,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,429,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,cs,0.9311,0.2466,0.9311,0.8984,0.3606,0.8984,0.9981,0.0113,0.9981,0.9069,0.4118,0.9069,0.5,0.5082,0.5085,0.5065,0.5103,0.508,0.5178,0.18,740725926,16.4359,0.1619,1.3544,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,359,261,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,cs,0.9229,0.2603,0.9229,0.9018,0.363,0.9018,0.999,0.0096,0.999,0.9032,0.4108,0.9032,0.5,0.5124,0.5155,0.5076,0.5166,0.5147,0.515,0.01,864180247,17.2054,0.1574,1.355,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,388,266,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,cs,0.9239,0.2505,0.9239,0.9125,0.3158,0.9125,0.9988,0.0112,0.9988,0.896,0.4176,0.896,0.5,0.5261,0.5235,0.5082,0.5171,0.5165,0.5202,0.02,987634568,16.6813,0.1524,1.3545,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,363,265,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,cs,0.9246,0.2726,0.9246,0.9134,0.3199,0.9134,1.0,0.0089,1.0,0.9028,0.4006,0.9028,0.5,0.5103,0.513,0.5107,0.5122,0.5158,0.5125,0.08,1111088889,17.0033,0.1549,1.356,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,436,256,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,cs,0.9287,0.2634,0.9287,0.9108,0.3338,0.9108,0.9988,0.0107,0.9988,0.9062,0.4243,0.9062,0.5,0.5211,0.5176,0.5027,0.5038,0.5064,0.5198,0.0300,1234543210,16.9443,0.1579,1.3569,0.0000,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,485,256,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
