,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,citeseer,0.1562,1.7981,0.1562,0.1725,1.7969,0.1725,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5,0.5,0.5,0.5,0.5,0.5051,0.37,370362963,0.2621,0.1709,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,citeseer,0.1562,1.7981,0.1562,0.1725,1.7969,0.1725,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5,0.5,0.5,0.5,0.5,0.5051,0.37,370362963,0.2621,0.1709,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,citeseer,0.1842,1.795,0.1842,0.2019,1.7836,0.2019,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5,0.5,0.5,0.5,0.5,0.5007,0.34,493817284,0.2566,0.1717,17.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,244,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
10,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
11,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
12,citeseer,0.1562,1.7981,0.1562,0.1725,1.7969,0.1725,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5,0.5,0.5,0.5,0.5,0.5051,0.37,370362963,0.2621,0.1709,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
13,citeseer,0.1842,1.795,0.1842,0.2019,1.7836,0.2019,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5,0.5,0.5,0.5,0.5,0.5007,0.34,493817284,0.2566,0.1717,17.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,244,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
14,citeseer,0.1923,1.7872,0.1923,0.1885,1.7876,0.1885,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.5,0.5,0.5,0.5,0.5,0.5074,0.39,617271605,0.2687,0.1719,23.8026,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,344,227,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
15,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
16,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
17,citeseer,0.1562,1.7981,0.1562,0.1725,1.7969,0.1725,0.988,0.0255,0.988,0.6738,1.6438,0.6738,0.5,0.5,0.5,0.5,0.5,0.5,0.5051,0.37,370362963,0.2621,0.1709,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
18,citeseer,0.1842,1.795,0.1842,0.2019,1.7836,0.2019,0.9853,0.0315,0.9853,0.6832,1.7936,0.6832,0.5,0.5,0.5,0.5,0.5,0.5,0.5007,0.34,493817284,0.2566,0.1717,17.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,244,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
19,citeseer,0.1923,1.7872,0.1923,0.1885,1.7876,0.1885,0.9866,0.0327,0.9866,0.639,1.8156,0.639,0.5,0.5,0.5,0.5,0.5,0.5,0.5074,0.39,617271605,0.2687,0.1719,23.8026,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,344,227,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
20,citeseer,0.1989,1.7894,0.1989,0.2286,1.7853,0.2286,0.9893,0.0283,0.9893,0.6671,1.7169,0.6671,0.5,0.5,0.5,0.5,0.5033,0.5,0.5,0.39,740725926,0.2583,0.1829,30.3026,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,448,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
21,citeseer,0.2203,1.8001,0.2203,0.1992,1.8043,0.1992,0.9853,0.029,0.9853,0.6484,1.8539,0.6484,0.5,0.5,0.5,0.5,0.5,0.5,0.5109,0.38,123454321,0.268,0.1742,14.8651,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,201,222,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
22,citeseer,0.1322,1.8061,0.1322,0.1444,1.7996,0.1444,0.984,0.0299,0.984,0.6925,1.7467,0.6925,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,246908642,0.2589,0.1755,24.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,356,223,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
