,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,computers,0.3828,2.0151,0.3828,0.3959,2.0157,0.3959,0.9625,0.1384,0.9625,0.8898,0.3955,0.8898,0.5,0.5008,0.5005,0.5,0.5006,0.5006,0.5016,0.16,123454321,0.2576,0.1807,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,332,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,computers,0.364,2.0242,0.364,0.362,2.0198,0.362,0.9596,0.1409,0.9596,0.8946,0.439,0.8946,0.5,0.5003,0.4997,0.5,0.5013,0.5002,0.5026,0.35,246908642,0.2575,0.1922,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,344,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,computers,0.3737,2.0048,0.3737,0.3562,2.0229,0.3562,0.9618,0.1373,0.9618,0.9037,0.3542,0.9037,0.5,0.4981,0.5011,0.5003,0.5087,0.5005,0.5124,0.3,370362963,0.2722,0.1858,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,374,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,computers,0.3582,2.0281,0.3582,0.3811,2.0278,0.3811,0.9496,0.1615,0.9496,0.8975,0.404,0.8975,0.5,0.5,0.5002,0.4995,0.5013,0.5,0.5069,0.3,493817284,0.2607,0.1861,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,373,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,computers,0.3611,1.9924,0.3611,0.3685,1.9994,0.3685,0.957,0.1491,0.957,0.9047,0.3835,0.9047,0.5,0.4998,0.4997,0.4958,0.5036,0.4997,0.5061,0.32,617271605,0.2581,0.1847,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,376,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,computers,0.3737,1.9739,0.3737,0.362,2.003,0.362,0.9596,0.1413,0.9596,0.9017,0.3814,0.9017,0.5,0.5031,0.5011,0.5005,0.5008,0.501,0.5124,0.31,740725926,0.2601,0.192,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,419,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,computers,0.3602,2.0241,0.3602,0.3652,2.039,0.3652,0.9441,0.1826,0.9441,0.9011,0.3835,0.9011,0.5,0.4998,0.5,0.4994,0.5025,0.4995,0.5037,0.33,864180247,0.2685,0.1857,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,334,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,computers,0.3543,1.9835,0.3543,0.3652,1.9793,0.3652,0.9641,0.1396,0.9641,0.8979,0.4181,0.8979,0.5,0.5002,0.5003,0.5,0.5053,0.5,0.5058,0.25,987634568,0.259,0.1798,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,400,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,computers,0.3702,1.9879,0.3702,0.3655,1.9761,0.3655,0.9586,0.1387,0.9586,0.8866,0.479,0.8866,0.5,0.4995,0.4998,0.4994,0.4992,0.5,0.5031,0.2,1111088889,0.2534,0.1969,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,391,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,computers,0.3760,1.9684,0.3760,0.3588,1.9891,0.3588,0.9547,0.1438,0.9547,0.9001,0.4102,0.9001,0.5,0.5002,0.5006,0.5006,0.4984,0.5003,0.5088,0.2600,1234543210,0.2592,0.1841,127.3026,0.1000,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,373,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
