,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cs,0.0757,2.6644,0.0757,0.0832,2.6628,0.0832,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5,0.5,0.5,0.5,0.5,0.5001,0.25,123454321,0.265,0.1973,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cs,0.0757,2.6644,0.0757,0.0832,2.6628,0.0832,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5,0.5,0.5,0.5,0.5,0.5001,0.25,123454321,0.265,0.1973,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cs,0.1884,2.636,0.1884,0.1726,2.6374,0.1726,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5,0.5,0.5,0.5,0.5,0.5022,0.24,246908642,0.5843,0.4918,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cs,0.0757,2.6644,0.0757,0.0832,2.6628,0.0832,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5,0.5,0.5,0.5,0.5,0.5001,0.25,123454321,0.265,0.1973,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cs,0.1884,2.636,0.1884,0.1726,2.6374,0.1726,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5,0.5,0.5,0.5,0.5,0.5022,0.24,246908642,0.5843,0.4918,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cs,0.1634,2.6364,0.1634,0.1683,2.6374,0.1683,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.5,0.5,0.5,0.5,0.5,0.504,0.25,370362963,0.6859,0.4805,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cs,0.0757,2.6644,0.0757,0.0832,2.6628,0.0832,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5,0.5,0.5,0.5,0.5,0.5001,0.25,123454321,0.265,0.1973,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cs,0.1884,2.636,0.1884,0.1726,2.6374,0.1726,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5,0.5,0.5,0.5,0.5,0.5022,0.24,246908642,0.5843,0.4918,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cs,0.1634,2.6364,0.1634,0.1683,2.6374,0.1683,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.5,0.5,0.5,0.5,0.5,0.504,0.25,370362963,0.6859,0.4805,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cs,0.1908,2.676,0.1908,0.1903,2.6763,0.1903,0.9995,0.0087,0.9995,0.9042,0.4064,0.9042,0.5,0.5,0.5,0.5,0.5012,0.5,0.5,0.01,493817284,0.4278,0.2895,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,253,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
