,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,cs,0.0546,2.6997,0.0546,0.0626,2.6977,0.0626,0.9985,0.0096,0.9985,0.9001,0.4154,0.9001,0.5,0.5,0.5,0.5,0.5,0.5,0.5036,0.25,123454321,0.2128,0.1543,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,cs,0.1149,2.6672,0.1149,0.1006,2.6688,0.1006,0.9998,0.0095,0.9998,0.9023,0.4087,0.9023,0.5,0.5,0.5,0.5,0.5,0.5,0.5008,0.24,246908642,0.214,0.1483,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,252,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,cs,0.0875,2.6657,0.0875,0.0861,2.6669,0.0861,0.9971,0.0126,0.9971,0.9025,0.3857,0.9025,0.5,0.5,0.5,0.5,0.5,0.5,0.5023,0.25,370362963,0.2118,0.1483,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,cs,0.1263,2.7059,0.1263,0.1203,2.7064,0.1203,0.9995,0.0087,0.9995,0.9042,0.4064,0.9042,0.5,0.5,0.5,0.5,0.5011,0.5,0.5,0.01,493817284,0.2097,0.1587,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,253,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,cs,0.1935,2.6502,0.1935,0.1952,2.6503,0.1952,0.9993,0.0094,0.9993,0.9059,0.4173,0.9059,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.01,617271605,0.2131,0.1575,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,258,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,cs,0.0732,2.6779,0.0732,0.0689,2.6797,0.0689,0.9981,0.0113,0.9981,0.9069,0.4118,0.9069,0.5,0.5,0.5,0.5,0.5046,0.5,0.5069,0.25,740725926,0.2104,0.1617,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,261,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,cs,0.1113,2.6942,0.1113,0.1128,2.6922,0.1128,0.999,0.0096,0.999,0.9032,0.4108,0.9032,0.5,0.5,0.5,0.5,0.5,0.5,0.5002,0.24,864180247,0.2208,0.1659,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,266,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,cs,0.089,2.6892,0.089,0.0727,2.6917,0.0727,0.9988,0.0112,0.9988,0.896,0.4176,0.896,0.5,0.5,0.5,0.5,0.5015,0.5,0.5038,0.25,987634568,0.221,0.1621,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,265,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,cs,0.072,2.6842,0.072,0.0701,2.6837,0.0701,1.0,0.0089,1.0,0.9028,0.4006,0.9028,0.5,0.5,0.5,0.5,0.5,0.5,0.5004,0.24,1111088889,0.229,0.1699,33.5526,0.1,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,256,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,cs,0.0723,2.6862,0.0723,0.0677,2.6899,0.0677,0.9988,0.0107,0.9988,0.9062,0.4243,0.9062,0.5,0.5000,0.5000,0.5000,0.5002,0.5000,0.5036,0.2500,1234543210,0.2267,0.1667,33.5526,0.1000,True,False,False,2.0,4.0,none,0.2,10,30,5,50,3,500,256,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
