,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.3782,1.8284,0.3782,0.3711,1.8326,0.3711,0.7712,0.7137,0.7712,0.422,1.9524,0.422,0.2,0.5037,0.5004,0.4991,0.4995,0.5008,0.5043,0.29,123454321,0.6459,0.6049,118.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,464,279,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,flickr,0.3707,1.8171,0.3707,0.3661,1.8304,0.3661,0.7793,0.7122,0.7793,0.4219,1.9216,0.4219,0.2,0.4993,0.5023,0.4962,0.5065,0.5001,0.5035,0.34,246908642,0.2544,0.179,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,flickr,0.3786,1.8302,0.3786,0.385,1.8179,0.385,0.7588,0.7718,0.7588,0.4262,1.866,0.4262,0.2,0.4966,0.5025,0.4967,0.5044,0.4994,0.503,0.42,370362963,0.6972,0.4791,93.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,363,262,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,flickr,0.3998,1.812,0.3998,0.4021,1.8164,0.4021,0.8118,0.6226,0.8118,0.4008,2.0747,0.4008,0.2,0.4957,0.4988,0.5074,0.5011,0.4977,0.5025,0.45,493817284,0.6943,0.4677,113.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,443,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,flickr,0.3468,1.8995,0.3468,0.33,1.9444,0.33,0.7621,0.7465,0.7621,0.4351,1.8791,0.4351,0.2,0.4977,0.4989,0.4956,0.5021,0.4981,0.5068,0.33,617271605,0.6704,0.4678,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,277,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,flickr,0.3756,1.8058,0.3756,0.3841,1.829,0.3841,0.7745,0.7122,0.7745,0.4163,1.963,0.4163,0.2,0.4988,0.501,0.5021,0.5055,0.5028,0.506,0.41,740725926,0.7371,0.4723,103.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,403,264,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,flickr,0.3846,1.8081,0.3846,0.3768,1.8272,0.3768,0.7898,0.6639,0.7898,0.4131,1.9533,0.4131,0.2,0.5036,0.5009,0.4978,0.4998,0.493,0.5062,0.38,864180247,0.6903,0.4688,118.8026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,466,274,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,flickr,0.3782,1.8284,0.3782,0.3711,1.8326,0.3711,0.7705,0.7147,0.7705,0.424,1.9518,0.424,0.2,0.497,0.5004,0.4977,0.5016,0.5033,0.5043,0.29,123454321,0.2673,0.1944,118.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,464,279,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,flickr,0.3707,1.8171,0.3707,0.3661,1.8304,0.3661,0.7721,0.7154,0.7721,0.4144,1.9214,0.4144,0.2,0.5002,0.5033,0.4985,0.5068,0.4958,0.5035,0.34,246908642,0.2585,0.195,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,flickr,0.3786,1.8302,0.3786,0.385,1.8179,0.385,0.759,0.768,0.759,0.4215,1.8687,0.4215,0.2,0.4975,0.5023,0.499,0.5003,0.4995,0.503,0.42,370362963,0.26,0.211,93.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,363,262,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
10,flickr,0.3998,1.812,0.3998,0.4021,1.8164,0.4021,0.8086,0.6201,0.8086,0.3961,2.0812,0.3961,0.2,0.5025,0.4986,0.5095,0.506,0.4987,0.5025,0.45,493817284,0.2625,0.1966,113.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,443,271,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
11,flickr,0.3468,1.8995,0.3468,0.33,1.9444,0.33,0.7572,0.7488,0.7572,0.4256,1.8785,0.4256,0.2,0.4897,0.4977,0.4893,0.5029,0.4915,0.5068,0.33,617271605,0.2676,0.2227,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,277,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
12,flickr,0.3756,1.8058,0.3756,0.3841,1.829,0.3841,0.779,0.7107,0.779,0.4179,1.9628,0.4179,0.2,0.4962,0.5006,0.4933,0.5038,0.5016,0.506,0.41,740725926,0.2623,0.1996,103.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,403,264,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
13,flickr,0.3846,1.8081,0.3846,0.3768,1.8272,0.3768,0.7863,0.6659,0.7863,0.412,1.9483,0.412,0.2,0.506,0.5013,0.5028,0.4995,0.499,0.5062,0.38,864180247,0.285,0.2157,118.8026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,466,273,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
14,flickr,0.4002,1.8067,0.4002,0.4,1.8036,0.4,0.7726,0.7093,0.7726,0.4281,1.8981,0.4281,0.2,0.4983,0.5026,0.5043,0.4997,0.4967,0.5021,0.12,987634568,0.2636,0.1974,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,258,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
15,flickr,0.3793,1.8241,0.3793,0.3869,1.7845,0.3869,0.7787,0.7197,0.7787,0.4349,1.9129,0.4349,0.2,0.4972,0.4994,0.5024,0.4986,0.5018,0.5016,0.16,1111088889,0.2789,0.2327,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
16,flickr,0.3877,1.7826,0.3877,0.3783,1.8352,0.3783,0.7569,0.7421,0.7569,0.4118,1.9251,0.4118,0.2,0.4981,0.4988,0.4980,0.4992,0.5016,0.5109,0.4200,1234543210,0.2774,0.2182,127.3026,0.1000,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,287,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
