,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.697,0.658,0.697,0.6897,0.6586,0.6897,0.9402,0.1744,0.9402,0.8503,0.4231,0.8503,0.5,0.5003,0.5008,0.5039,0.4984,0.5018,0.5048,0.37,123454321,0.2089,0.1559,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,328,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,github,0.6712,0.6673,0.6712,0.6872,0.6671,0.6872,0.9314,0.187,0.9314,0.8575,0.3775,0.8575,0.5,0.5017,0.5014,0.5055,0.4962,0.5002,0.507,0.43,246908642,0.2155,0.1535,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,262,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,github,0.6839,0.6547,0.6839,0.683,0.6568,0.683,0.9406,0.1767,0.9406,0.8537,0.4243,0.8537,0.5,0.5012,0.5022,0.5017,0.5012,0.5023,0.5046,0.4,370362963,0.2158,0.1598,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,295,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,github,0.7374,0.6218,0.7374,0.7449,0.6208,0.7449,0.9376,0.1707,0.9376,0.8518,0.4163,0.8518,0.5,0.4991,0.4998,0.4998,0.5004,0.4995,0.5037,0.28,493817284,0.2036,0.149,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,273,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,github,0.7149,0.6238,0.7149,0.7208,0.6245,0.7208,0.9447,0.1657,0.9447,0.8497,0.416,0.8497,0.5,0.5,0.4997,0.4946,0.4998,0.4995,0.5074,0.35,617271605,0.2073,0.152,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,299,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,github,0.6955,0.6501,0.6955,0.689,0.6534,0.689,0.9163,0.2212,0.9163,0.861,0.3639,0.861,0.5,0.5008,0.4994,0.4994,0.4991,0.5002,0.506,0.46,740725926,0.2043,0.1526,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,231,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,github,0.7076,0.6519,0.7076,0.7246,0.6448,0.7246,0.9434,0.1615,0.9434,0.8448,0.4417,0.8448,0.5,0.4997,0.4991,0.4939,0.4978,0.4996,0.5014,0.22,864180247,0.2126,0.1444,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,323,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,github,0.7119,0.6392,0.7119,0.7117,0.6421,0.7117,0.9363,0.1781,0.9363,0.8445,0.4212,0.8445,0.5,0.5016,0.5015,0.4938,0.5024,0.5012,0.5039,0.46,987634568,0.2124,0.1488,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,313,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,github,0.7426,0.6143,0.7426,0.7464,0.6112,0.7464,0.9411,0.1668,0.9411,0.8448,0.44,0.8448,0.5,0.5,0.4999,0.5004,0.5002,0.5004,0.5039,0.38,1111088889,0.2036,0.1431,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,300,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,github,0.7181,0.6399,0.7181,0.7186,0.6399,0.7186,0.9399,0.1695,0.9399,0.8445,0.4348,0.8445,0.5,0.4991,0.4995,0.4927,0.4999,0.4997,0.5022,0.6,1234543210,0.2388,0.1703,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,267,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
