,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,lastfmasia,0.1296,2.7479,0.1296,0.1272,2.7411,0.1272,0.9755,0.1178,0.9755,0.8291,0.9044,0.8291,0.5,0.5003,0.5,0.5,0.5009,0.5,0.5015,0.24,123454321,0.245,0.1824,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,322,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,lastfmasia,0.2574,2.6636,0.2574,0.2433,2.6942,0.2433,0.9761,0.1103,0.9761,0.7952,0.9184,0.7952,0.5,0.4997,0.5,0.4995,0.5,0.5003,0.5125,0.23,246908642,0.2463,0.1713,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,307,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,lastfmasia,0.1483,2.7706,0.1483,0.1412,2.7906,0.1412,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.5,0.5006,0.5003,0.5026,0.5,0.5083,0.23,370362963,0.2453,0.1836,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,312,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,lastfmasia,0.1045,2.846,0.1045,0.0986,2.8503,0.0986,0.9807,0.1044,0.9807,0.825,0.8766,0.825,0.5,0.498,0.5,0.5003,0.5092,0.5,0.5044,0.22,493817284,0.2442,0.1723,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,331,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,lastfmasia,0.1605,2.7617,0.1605,0.1569,2.7584,0.1569,0.9737,0.1165,0.9737,0.8081,0.9761,0.8081,0.5,0.502,0.5,0.4989,0.5003,0.5,0.5098,0.23,617271605,0.2497,0.1818,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,331,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,lastfmasia,0.2154,2.7224,0.2154,0.2065,2.7285,0.2065,0.9802,0.1122,0.9802,0.8011,0.9982,0.8011,0.5,0.5,0.5,0.4997,0.5012,0.4997,0.5066,0.23,740725926,0.2489,0.1719,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,306,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,lastfmasia,0.1961,2.6509,0.1961,0.1984,2.6481,0.1984,0.9766,0.1053,0.9766,0.8063,0.9417,0.8063,0.5,0.5,0.5,0.5,0.4912,0.5,0.5037,0.23,864180247,0.2514,0.1753,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,317,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,lastfmasia,0.164,2.7206,0.164,0.1529,2.7444,0.1529,0.9772,0.1097,0.9772,0.7987,0.9793,0.7987,0.5,0.5006,0.5,0.5,0.5,0.5023,0.5192,0.23,987634568,0.2492,0.1839,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,312,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,lastfmasia,0.1138,2.8377,0.1138,0.1254,2.8434,0.1254,0.9807,0.0936,0.9807,0.8133,0.9613,0.8133,0.5,0.4988,0.5,0.5,0.5009,0.5,0.5043,0.23,1111088889,0.2462,0.1754,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,324,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,lastfmasia,0.1010,2.8812,0.1010,0.0951,2.8774,0.0951,0.9784,0.1082,0.9784,0.7917,0.9892,0.7917,0.5,0.5041,0.5000,0.5000,0.5020,0.5009,0.5054,0.2300,1234543210,0.2487,0.1756,127.3026,0.1000,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
