,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.3517,1.8287,0.3517,0.3337,1.8494,0.3337,0.9814,0.0552,0.9814,0.9297,0.2926,0.9297,0.5,0.5,0.5003,0.5,0.5172,0.5,0.5096,0.28,123454321,0.1951,0.1497,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,328,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,photo,0.2878,1.8032,0.2878,0.2785,1.8234,0.2785,0.9802,0.0714,0.9802,0.9355,0.2698,0.9355,0.5,0.5,0.4997,0.4997,0.5096,0.4994,0.5073,0.24,246908642,0.2245,0.1663,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,324,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,photo,0.3105,1.8315,0.3105,0.3,1.8639,0.3,0.982,0.0676,0.982,0.9203,0.3179,0.9203,0.5,0.5035,0.4997,0.5,0.5203,0.5,0.5235,0.33,370362963,0.2138,0.1492,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,394,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,photo,0.2384,1.8088,0.2384,0.2395,1.8168,0.2395,0.9826,0.0661,0.9826,0.9349,0.2405,0.9349,0.5,0.5,0.5003,0.5,0.4977,0.5,0.509,0.23,493817284,0.2034,0.15,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,363,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,photo,0.3779,1.8597,0.3779,0.3709,1.873,0.3709,0.9826,0.0603,0.9826,0.9308,0.3226,0.9308,0.5,0.5,0.5,0.5,0.5137,0.5,0.5119,0.28,617271605,0.2029,0.1512,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,320,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,photo,0.2564,1.8932,0.2564,0.257,1.905,0.257,0.9901,0.0408,0.9901,0.9291,0.3174,0.9291,0.5,0.5,0.5,0.5,0.4977,0.5,0.5131,0.33,740725926,0.216,0.1494,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,383,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,photo,0.2471,1.8607,0.2471,0.2645,1.8585,0.2645,0.9814,0.0568,0.9814,0.9331,0.2751,0.9331,0.5,0.5,0.5,0.5,0.5078,0.5,0.5017,0.32,864180247,0.1991,0.1437,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,344,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,photo,0.2221,1.8779,0.2221,0.2262,1.8663,0.2262,0.9866,0.0516,0.9866,0.9384,0.2518,0.9384,0.5,0.5,0.5,0.5,0.4994,0.5,0.5081,0.23,987634568,0.2052,0.1503,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,352,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,photo,0.3203,1.8296,0.3203,0.3134,1.8753,0.3134,0.9808,0.0642,0.9808,0.9279,0.2818,0.9279,0.5,0.4997,0.5,0.5,0.5076,0.5,0.5151,0.24,1111088889,0.2114,0.1364,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,303,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,photo,0.2262,1.8876,0.2262,0.2297,1.8610,0.2297,0.9762,0.0668,0.9762,0.9349,0.2638,0.9349,0.5,0.5000,0.5000,0.4991,0.4977,0.5000,0.5032,0.3000,1234543210,0.1958,0.1396,127.3026,0.1000,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,316,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
