,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,physics,0.5971,1.5423,0.5971,0.5987,1.541,0.5987,0.9986,0.0131,0.9986,0.9456,0.2234,0.9456,0.5,0.5,0.5,0.5,0.5,0.5,0.5019,0.39,123454321,0.2839,0.1919,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,259,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,physics,0.5423,1.5458,0.5423,0.5463,1.5458,0.5463,0.9985,0.0129,0.9985,0.9496,0.1972,0.9496,0.5,0.5,0.5,0.5,0.5,0.5,0.5031,0.38,246908642,0.2557,0.1841,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,267,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,physics,0.4619,1.5432,0.4619,0.4586,1.5439,0.4586,0.9982,0.0126,0.9982,0.9505,0.2054,0.9505,0.5,0.5,0.5,0.5,0.4994,0.5,0.5032,0.39,370362963,0.2796,0.1912,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,physics,0.5311,1.5523,0.5311,0.5183,1.555,0.5183,0.9979,0.0133,0.9979,0.9485,0.2006,0.9485,0.5,0.5,0.5,0.5,0.5,0.5,0.5088,0.4,493817284,0.2828,0.1902,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,254,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,physics,0.6017,1.5318,0.6017,0.5997,1.531,0.5997,0.9981,0.0114,0.9981,0.9466,0.2192,0.9466,0.5,0.5,0.5,0.5,0.5015,0.5,0.5026,0.38,617271605,0.2842,0.1821,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,288,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,physics,0.5422,1.5304,0.5422,0.5466,1.5295,0.5466,0.9983,0.0124,0.9983,0.9519,0.1917,0.9519,0.5,0.5,0.5,0.5,0.5,0.5,0.5026,0.41,740725926,0.2748,0.1896,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,257,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,physics,0.2797,1.5879,0.2797,0.2799,1.589,0.2799,0.9978,0.0128,0.9978,0.947,0.2058,0.947,0.5,0.5,0.5,0.5,0.5,0.5,0.5047,0.4,864180247,0.2899,0.198,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,260,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,physics,0.5111,1.5349,0.5111,0.5222,1.5324,0.5222,0.9979,0.0129,0.9979,0.9469,0.2261,0.9469,0.5,0.5,0.5,0.5,0.5,0.5,0.5008,0.36,987634568,0.301,0.1929,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,264,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,physics,0.6102,1.5312,0.6102,0.6232,1.529,0.6232,0.9972,0.0135,0.9972,0.9478,0.2088,0.9478,0.5,0.5,0.5,0.5,0.5,0.5,0.5009,0.37,1111088889,0.2969,0.1933,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,275,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,physics,0.5278,1.5081,0.5278,0.5219,1.5085,0.5219,0.9986,0.0106,0.9986,0.9469,0.2093,0.9469,0.5,0.5000,0.5000,0.5000,0.5000,0.5000,0.5036,0.3900,1234543210,0.2766,0.2047,127.3026,0.1000,True,False,False,2.0,2.0,none,0.2,10,30.0,5,50,3,500,262,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
