,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.3811,1.0919,0.3811,0.3706,1.0923,0.3706,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5,0.5,0.4998,0.5,0.5,0.504,0.48,123454321,0.2663,0.1839,110.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,433,443,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
1,pubmed,0.3811,1.0919,0.3811,0.3706,1.0923,0.3706,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5,0.5,0.4998,0.5,0.5,0.504,0.48,123454321,0.2663,0.1839,110.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,433,443,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
2,pubmed,0.4115,1.0961,0.4115,0.4022,1.0967,0.4022,0.9211,0.225,0.9211,0.8438,0.4566,0.8438,0.5,0.5,0.5,0.5,0.5,0.5,0.5032,0.47,246908642,0.2853,0.1858,56.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,215,444,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
3,pubmed,0.3811,1.0919,0.3811,0.3706,1.0923,0.3706,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5,0.5,0.4998,0.5,0.5,0.504,0.48,123454321,0.2663,0.1839,110.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,433,443,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
4,pubmed,0.4115,1.0961,0.4115,0.4022,1.0967,0.4022,0.9211,0.225,0.9211,0.8438,0.4566,0.8438,0.5,0.5,0.5,0.5,0.5,0.5,0.5032,0.47,246908642,0.2853,0.1858,56.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,215,444,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
5,pubmed,0.4442,1.0926,0.4442,0.4477,1.092,0.4477,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.5,0.4989,0.5,0.4999,0.5001,0.44,370362963,0.2741,0.1801,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,397,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
6,pubmed,0.3811,1.0919,0.3811,0.3706,1.0923,0.3706,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5,0.5,0.4998,0.5,0.5,0.504,0.48,123454321,0.2663,0.1839,110.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,433,443,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
7,pubmed,0.4115,1.0961,0.4115,0.4022,1.0967,0.4022,0.9211,0.225,0.9211,0.8438,0.4566,0.8438,0.5,0.5,0.5,0.5,0.5,0.5,0.5032,0.47,246908642,0.2853,0.1858,56.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,215,444,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
8,pubmed,0.4442,1.0926,0.4442,0.4477,1.092,0.4477,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.5,0.4989,0.5,0.4999,0.5001,0.44,370362963,0.2741,0.1801,127.3026,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,500,397,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
9,pubmed,0.3962,1.0986,0.3962,0.399,1.0982,0.399,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.5,0.4971,0.5,0.5,0.5,0.5,0.01,493817284,0.275,0.181,105.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,413,465,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
10,pubmed,0.3811,1.0919,0.3811,0.3706,1.0923,0.3706,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5,0.5,0.4998,0.5,0.5,0.504,0.48,123454321,0.2663,0.1839,110.5526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,433,443,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
11,pubmed,0.4115,1.0961,0.4115,0.4022,1.0967,0.4022,0.9211,0.225,0.9211,0.8438,0.4566,0.8438,0.5,0.5,0.5,0.5,0.5,0.5,0.5032,0.47,246908642,0.2853,0.1858,56.0526,0.1,True,False,False,2.0,2.0,none,0.2,10,30,5,50,3,215,444,0.1,0.45,2,256,0.001,0.001,0.5,relu,True,200,adam
