,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.4326,1.6468,0.4326,0.4143,1.7351,0.4143,0.7692,0.7105,0.7692,0.4144,1.957,0.4144,0.2,0.5015,0.4976,0.4922,0.5014,0.4928,0.5125,0.33,123454321,1.1624,0.1902,50.9921,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,248,279,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.4488,1.64,0.4488,0.4207,1.7822,0.4207,0.7791,0.7161,0.7791,0.4215,1.9152,0.4215,0.2,0.5022,0.495,0.4998,0.5051,0.4933,0.5159,0.39,246908642,1.2318,0.1923,51.9315,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,254,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.4356,1.6454,0.4356,0.415,1.7786,0.415,0.7599,0.7707,0.7599,0.4246,1.8661,0.4246,0.2,0.503,0.4979,0.5004,0.4957,0.4965,0.5174,0.38,370362963,1.2126,0.1954,51.9315,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,254,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.4342,1.6408,0.4342,0.414,1.7864,0.414,0.8085,0.6227,0.8085,0.4022,2.0796,0.4022,0.2,0.498,0.4981,0.4967,0.5019,0.497,0.519,0.38,493817284,1.1422,0.1956,53.3405,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,263,271,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.4548,1.5393,0.4548,0.4437,1.5872,0.4437,0.6293,1.0778,0.6293,0.4705,1.5853,0.4705,0.4,0.5003,0.5019,0.5028,0.5066,0.5034,0.5097,0.24,123454321,2.0858,0.2089,90.1997,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,267,318,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.4286,1.6519,0.4286,0.4038,1.7832,0.4038,0.7562,0.7492,0.7562,0.4249,1.8768,0.4249,0.2,0.5014,0.4959,0.4993,0.4974,0.4973,0.5167,0.31,617271605,1.2286,0.1937,46.765,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,221,277,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.4657,1.5292,0.4657,0.4608,1.5703,0.4608,0.6067,1.1319,0.6067,0.4657,1.5812,0.4657,0.4,0.5026,0.5014,0.4984,0.5024,0.5009,0.5083,0.39,246908642,1.9981,0.2078,131.0175,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,423,325,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.4706,1.5255,0.4706,0.4516,1.5863,0.4516,0.6106,1.1305,0.6106,0.4578,1.6111,0.4578,0.4,0.4994,0.5,0.4981,0.5023,0.4971,0.511,0.29,370362963,2.0563,0.2101,95.1567,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,285,315,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.4187,1.6563,0.4187,0.4089,1.7595,0.4089,0.7783,0.7009,0.7783,0.4145,1.9814,0.4145,0.2,0.4925,0.4945,0.4993,0.5,0.4904,0.5136,0.42,740725926,1.1854,0.217,53.9667,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,267,269,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.4318,1.6343,0.4318,0.4089,1.7665,0.4089,0.7884,0.6652,0.7884,0.4138,1.9489,0.4138,0.2,0.4963,0.4946,0.4963,0.4935,0.5012,0.5165,0.39,864180247,1.2287,0.2065,54.7495,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,272,274,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,flickr,0.4456,1.6288,0.4456,0.4065,1.7627,0.4065,0.7793,0.7091,0.7793,0.4371,1.8994,0.4371,0.2,0.4956,0.4956,0.4937,0.4998,0.4969,0.5218,0.3,987634568,1.3506,0.1949,50.679,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,246,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,flickr,0.4237,1.6843,0.4237,0.4097,1.7893,0.4097,0.7776,0.7197,0.7776,0.4366,1.9147,0.4366,0.2,0.494,0.4968,0.5019,0.4989,0.4952,0.5139,0.39,1111088889,1.1811,0.1964,53.6536,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,265,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,flickr,0.4391,1.6345,0.4391,0.4003,1.8021,0.4003,0.7608,0.7403,0.7608,0.4184,1.9231,0.4184,0.2,0.4977,0.4981,0.5077,0.4975,0.4986,0.5206,0.3,1234543210,1.3114,0.195,47.5478,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,226,287,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
