,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.6587,1.0161,0.6587,0.4222,1.8036,0.4222,0.7732,0.7113,0.7732,0.4262,1.9586,0.4262,0.2,0.5315,0.5442,0.5271,0.5159,0.5407,0.6199,0.25,123454321,3.7271,0.148,71.1915,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,290,279,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.6868,0.9385,0.6868,0.4329,1.8272,0.4329,0.7791,0.7134,0.7791,0.4171,1.9182,0.4171,0.2,0.5393,0.5504,0.5457,0.497,0.5525,0.6289,0.28,246908642,3.6753,0.1482,70.4948,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,286,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.6752,0.9764,0.6752,0.4283,1.8106,0.4283,0.7603,0.7714,0.7603,0.4257,1.8658,0.4257,0.2,0.5419,0.5481,0.5378,0.4997,0.547,0.6265,0.25,370362963,3.6706,0.146,68.7529,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,276,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.6793,0.9041,0.6793,0.4297,1.8959,0.4297,0.8123,0.6194,0.8123,0.4023,2.0809,0.4023,0.2,0.5477,0.5584,0.5497,0.484,0.5585,0.6291,0.26,493817284,3.6192,0.1566,68.9271,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,277,271,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.6806,0.946,0.6806,0.428,1.831,0.428,0.7611,0.7435,0.7611,0.4327,1.8805,0.4327,0.2,0.5497,0.555,0.5485,0.5092,0.5512,0.6275,0.3,617271605,3.6578,0.1526,72.585,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,298,277,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.6623,0.9958,0.6623,0.4302,1.7803,0.4302,0.7616,0.7303,0.7616,0.4118,1.9622,0.4118,0.2,0.5407,0.5438,0.5325,0.4987,0.5391,0.6186,0.28,740725926,3.7213,0.1469,69.2755,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,279,259,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.6804,0.9042,0.6804,0.4212,1.8874,0.4212,0.7887,0.6658,0.7887,0.4094,1.9535,0.4094,0.2,0.5434,0.5508,0.5467,0.4982,0.5574,0.6329,0.33,864180247,3.6581,0.1473,69.798,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,282,274,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.6715,0.9587,0.6715,0.4397,1.7726,0.4397,0.779,0.7071,0.779,0.4351,1.8965,0.4351,0.2,0.549,0.5485,0.5383,0.5084,0.5457,0.6184,0.3,987634568,3.6891,0.1514,69.6238,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,281,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.6813,0.9512,0.6813,0.4318,1.8243,0.4318,0.7751,0.719,0.7751,0.4197,1.9195,0.4197,0.2,0.5385,0.5533,0.5415,0.499,0.5455,0.6271,0.27,1111088889,3.6119,0.1482,70.1464,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,284,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.6467,1.0261,0.6467,0.4219,1.7762,0.4219,0.7611,0.7441,0.7611,0.4201,1.9163,0.4201,0.2,0.5343,0.5401,0.5421,0.5031,0.5417,0.6159,0.2700,1234543210,3.6648,0.1474,65.4434,0.0000,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,257,286,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
