,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.4956,1.718,0.4956,0.4043,1.9506,0.4043,0.7702,0.7108,0.7702,0.4197,1.955,0.4197,0.2,0.5137,0.5094,0.5105,0.5059,0.5089,0.5488,0.28,123454321,27.9304,0.142,1.4269,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,233,279,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.4949,1.6893,0.4949,0.4133,1.9909,0.4133,0.7807,0.716,0.7807,0.425,1.9192,0.425,0.2,0.5077,0.5034,0.511,0.4983,0.5072,0.543,0.28,246908642,29.4631,0.1601,1.4273,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,251,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.49,1.7177,0.49,0.419,1.9663,0.419,0.7592,0.7706,0.7592,0.4245,1.8663,0.4245,0.2,0.5053,0.5059,0.5064,0.4974,0.5144,0.5364,0.22,370362963,30.2298,0.1599,1.4269,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,231,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.4796,1.7726,0.4796,0.4051,2.0529,0.4051,0.8082,0.6234,0.8082,0.399,2.0745,0.399,0.2,0.5057,0.511,0.5132,0.4996,0.5114,0.5442,0.24,493817284,30.1367,0.1431,1.4267,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,224,271,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.4995,1.712,0.4995,0.4048,2.0257,0.4048,0.7584,0.7463,0.7584,0.428,1.8782,0.428,0.2,0.5028,0.5013,0.5018,0.4984,0.5005,0.5488,0.26,617271605,28.9918,0.1483,1.4271,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,242,277,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.4868,1.7203,0.4868,0.3961,1.987,0.3961,0.7785,0.7035,0.7785,0.4234,1.9743,0.4234,0.2,0.5028,0.5033,0.5011,0.5012,0.5128,0.5485,0.26,740725926,29.475,0.1442,1.4273,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,254,269,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.4544,1.792,0.4544,0.408,2.0872,0.408,0.7854,0.6682,0.7854,0.4107,1.9479,0.4107,0.2,0.4941,0.4929,0.4983,0.4926,0.4961,0.5413,0.4,864180247,29.2576,0.1554,1.4271,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,244,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.4948,1.7003,0.4948,0.3917,1.9557,0.3917,0.7771,0.7127,0.7771,0.4384,1.8983,0.4384,0.2,0.5079,0.5072,0.5084,0.4956,0.5084,0.5539,0.29,987634568,29.5897,0.1623,1.4273,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,255,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.4919,1.7333,0.4919,0.4272,1.9644,0.4272,0.7773,0.7207,0.7773,0.4337,1.9134,0.4337,0.2,0.5089,0.5073,0.5061,0.4984,0.5064,0.5409,0.25,1111088889,29.7734,0.1446,1.4271,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,242,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.5051,1.6195,0.5051,0.4021,1.9671,0.4021,0.7624,0.7428,0.7624,0.4219,1.9184,0.4219,0.2,0.5109,0.5049,0.5092,0.5013,0.5095,0.5535,0.27,1234543210,29.5023,0.149,1.4269,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,230,286,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,flickr,0.4708,1.5278,0.4708,0.4092,1.6656,0.4092,0.6302,1.076,0.6302,0.4708,1.5906,0.4708,0.4,0.501,0.5005,0.4978,0.5008,0.5009,0.5315,0.31,123454321,110.029,0.151,1.5837,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,283,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,flickr,0.4945,1.5367,0.4945,0.4389,1.6258,0.4389,0.5978,1.1419,0.5978,0.4586,1.5883,0.4586,0.4,0.5026,0.501,0.4959,0.4991,0.4976,0.5338,0.31,246908642,110.7823,0.1551,1.584,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,297,321,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,flickr,0.5038,1.4998,0.5038,0.4429,1.6595,0.4429,0.6171,1.1176,0.6171,0.4582,1.5918,0.4582,0.4,0.503,0.5031,0.4975,0.5022,0.5014,0.5359,0.28,370362963,113.8843,0.1533,1.5839,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,296,309,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,flickr,0.4284,1.5700,0.4284,0.3654,1.6843,0.3654,0.6080,1.1355,0.6080,0.4584,1.5936,0.4584,0.4,0.5000,0.4991,0.5020,0.5029,0.4995,0.5312,0.3200,493817284,110.8324,0.1504,1.5836,0.0000,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,279,302,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
