,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.5323,1.3898,0.5323,0.4553,1.5797,0.4553,0.628,1.0762,0.628,0.4692,1.5856,0.4692,0.4,0.5021,0.5004,0.5047,0.5027,0.4996,0.5425,0.29,123454321,134.9132,0.1663,1.5841,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,304,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.5159,1.4345,0.5159,0.4743,1.5424,0.4743,0.6118,1.1303,0.6118,0.4701,1.5882,0.4701,0.4,0.5036,0.5015,0.5015,0.5001,0.4999,0.5257,0.28,246908642,135.6428,0.1606,1.5834,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,271,326,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.5341,1.3828,0.5341,0.4516,1.602,0.4516,0.6169,1.1151,0.6169,0.4582,1.5931,0.4582,0.4,0.4971,0.4988,0.5012,0.5024,0.5022,0.5453,0.29,370362963,132.0629,0.1699,1.5845,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,325,310,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.509,1.4281,0.509,0.4477,1.5897,0.4477,0.6098,1.136,0.6098,0.4572,1.5934,0.4572,0.4,0.4969,0.5019,0.4947,0.505,0.5038,0.5363,0.29,493817284,153.0013,0.1672,1.5844,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,320,303,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.5328,1.3947,0.5328,0.4517,1.5852,0.4517,0.6227,1.0782,0.6227,0.4683,1.5854,0.4683,0.4,0.5021,0.5002,0.4974,0.5041,0.5022,0.5448,0.3,123454321,138.7471,0.1639,1.584,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,301,319,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.523,1.4136,0.523,0.4542,1.5884,0.4542,0.5939,1.1582,0.5939,0.4669,1.559,0.4669,0.4,0.5012,0.499,0.5003,0.5037,0.5013,0.5357,0.29,617271605,134.84,0.1583,1.5848,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,337,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.518,1.4179,0.518,0.4718,1.5538,0.4718,0.6118,1.1312,0.6118,0.4716,1.5765,0.4716,0.4,0.5002,0.5032,0.4994,0.5019,0.4984,0.5293,0.27,246908642,129.767,0.1598,1.5846,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,331,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.5302,1.3421,0.5302,0.4489,1.5898,0.4489,0.6075,1.1259,0.6075,0.4661,1.5939,0.4661,0.4,0.4979,0.5022,0.5011,0.5024,0.5012,0.5463,0.26,740725926,128.7927,0.1655,1.5859,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,397,311,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.5298,1.402,0.5298,0.4501,1.5984,0.4501,0.6084,1.119,0.6084,0.4559,1.5869,0.4559,0.4,0.4963,0.5006,0.4985,0.5035,0.4993,0.5435,0.3,370362963,128.3875,0.1737,1.584,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,299,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.5275,1.3869,0.5275,0.446,1.601,0.446,0.6194,1.1241,0.6194,0.463,1.6035,0.463,0.4,0.4992,0.4979,0.4948,0.5026,0.5006,0.5442,0.3,864180247,126.3551,0.1605,1.5845,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,325,335,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
