,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,flickr,0.6568,1.0158,0.6568,0.4217,1.8037,0.4217,0.7716,0.7134,0.7716,0.4255,1.9537,0.4255,0.2,0.5269,0.5441,0.5272,0.5145,0.5437,0.6199,0.26,123454321,3.927,0.1579,71.1915,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,290,279,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,flickr,0.6878,0.9372,0.6878,0.4328,1.8261,0.4328,0.7807,0.7148,0.7807,0.4275,1.9247,0.4275,0.2,0.5419,0.5524,0.5449,0.5101,0.5536,0.63,0.27,246908642,3.8868,0.1815,70.4948,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,286,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,flickr,0.6745,0.9765,0.6745,0.4271,1.81,0.4271,0.7578,0.7687,0.7578,0.4189,1.8697,0.4189,0.2,0.5408,0.5475,0.534,0.4988,0.5462,0.6271,0.25,370362963,3.9761,0.1533,68.7529,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,276,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,flickr,0.6782,0.9064,0.6782,0.427,1.8996,0.427,0.8095,0.6232,0.8095,0.4026,2.0751,0.4026,0.2,0.5575,0.5589,0.5547,0.4873,0.5631,0.6292,0.25,493817284,3.9068,0.1588,68.9271,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,277,271,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,flickr,0.6816,0.9438,0.6816,0.4286,1.8348,0.4286,0.7635,0.7474,0.7635,0.4369,1.8831,0.4369,0.2,0.5452,0.5538,0.548,0.4908,0.5485,0.627,0.28,617271605,3.9321,0.1643,72.585,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,298,277,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,flickr,0.6621,0.9962,0.6621,0.4268,1.7821,0.4268,0.7796,0.7002,0.7796,0.4166,1.9791,0.4166,0.2,0.5314,0.5491,0.5361,0.503,0.5356,0.6195,0.27,740725926,3.9124,0.1587,69.2755,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,279,269,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,flickr,0.688,0.91,0.688,0.4173,1.8783,0.4173,0.7894,0.6622,0.7894,0.4212,1.9467,0.4212,0.2,0.5456,0.5533,0.5487,0.4995,0.5539,0.6364,0.34,864180247,3.8684,0.1519,68.9271,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,277,274,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,flickr,0.6715,0.9587,0.6715,0.4397,1.7726,0.4397,0.7804,0.7087,0.7804,0.4386,1.8979,0.4386,0.2,0.5495,0.5495,0.536,0.4981,0.5429,0.6184,0.3,987634568,3.9297,0.1684,69.6238,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,281,258,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,flickr,0.6814,0.9506,0.6814,0.4301,1.8248,0.4301,0.7778,0.7198,0.7778,0.4342,1.9136,0.4342,0.2,0.5363,0.5536,0.5415,0.5068,0.5463,0.6277,0.27,1111088889,3.9337,0.1684,70.1464,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,284,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,flickr,0.6472,1.0258,0.6472,0.4212,1.7775,0.4212,0.7573,0.7434,0.7573,0.412,1.9219,0.412,0.2,0.5409,0.5373,0.5376,0.5018,0.544,0.6161,0.27,1234543210,3.9199,0.1605,65.4434,0.0,False,True,False,1.0,1.0,neighbor,0.2,10,30.0,5,50,3,257,287,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
