,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.9036,0.2635,0.9036,0.849,0.3861,0.849,0.9401,0.1744,0.9401,0.8505,0.4235,0.8505,0.5,0.5097,0.5123,0.4976,0.4986,0.5101,0.5302,0.39,123454321,69.8349,0.1686,1.5139,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,383,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8827,0.315,0.8827,0.8586,0.3744,0.8586,0.9313,0.187,0.9313,0.8571,0.3776,0.8571,0.5,0.5015,0.5019,0.4963,0.4989,0.5031,0.5163,0.19,246908642,72.2526,0.1553,1.5108,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,229,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.8999,0.2725,0.8999,0.847,0.3852,0.847,0.9399,0.1743,0.9399,0.85,0.4234,0.85,0.5,0.5059,0.5116,0.5015,0.4979,0.5147,0.5277,0.62,123454321,34.8078,0.1683,1.437,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,434,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.8911,0.3037,0.8911,0.8585,0.3688,0.8585,0.9403,0.1767,0.9403,0.8537,0.4243,0.8537,0.5,0.4995,0.4995,0.5011,0.5019,0.5023,0.5174,0.47,370362963,72.4265,0.1722,1.5108,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,227,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.876,0.3289,0.876,0.8588,0.3738,0.8588,0.931,0.187,0.931,0.857,0.3775,0.857,0.5,0.503,0.4996,0.5047,0.4999,0.5028,0.5118,0.24,246908642,36.5685,0.1664,1.433,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,231,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.8952,0.298,0.8952,0.8588,0.3738,0.8588,0.9406,0.1767,0.9406,0.8536,0.4244,0.8536,0.5,0.4988,0.4999,0.4966,0.5019,0.5021,0.5195,0.37,370362963,36.2239,0.1738,1.4347,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,315,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.911,0.2685,0.911,0.8428,0.4103,0.8428,0.9378,0.1707,0.9378,0.8517,0.4166,0.8517,0.5,0.5109,0.5114,0.4948,0.4984,0.5091,0.5347,0.47,493817284,73.4149,0.1658,1.5123,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,303,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.8999,0.2899,0.8999,0.8483,0.3968,0.8483,0.9378,0.1707,0.9378,0.8518,0.4166,0.8518,0.5,0.5071,0.5088,0.5014,0.4981,0.5064,0.5283,0.46,493817284,36.5417,0.16,1.4342,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,292,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.8851,0.304,0.8851,0.8571,0.3764,0.8571,0.9446,0.1657,0.9446,0.8497,0.4162,0.8497,0.5,0.5109,0.5095,0.505,0.5034,0.5098,0.5199,0.13,617271605,36.5163,0.1668,1.4329,0.0,False,True,False,1.0,1.0,saint_rw,0.2,10,30.0,5,50,3,227,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.8911,0.2864,0.8911,0.8552,0.3794,0.8552,0.9449,0.1657,0.9449,0.8498,0.4162,0.8498,0.5,0.5153,0.5143,0.5001,0.5038,0.5113,0.5223,0.14,617271605,73.5198,0.1678,1.5108,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,5,50,3,225,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
