,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.8566,0.3682,0.8566,0.8428,0.3937,0.8428,0.9402,0.1744,0.9402,0.8502,0.4233,0.8502,0.5,0.5019,0.5011,0.4987,0.4958,0.5027,0.5107,0.18,123454321,1.6384,0.1899,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8461,0.3808,0.8461,0.8434,0.3906,0.8434,0.9314,0.187,0.9314,0.8576,0.3775,0.8576,0.5,0.5024,0.4991,0.5054,0.4999,0.4992,0.5052,0.04,246908642,1.6193,0.1981,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.8529,0.3839,0.8529,0.8532,0.3826,0.8532,0.9405,0.1767,0.9405,0.8536,0.4244,0.8536,0.5,0.4949,0.4924,0.5038,0.4995,0.4946,0.5025,0.2,370362963,1.6205,0.1931,37.0305,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,357,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.85,0.3774,0.85,0.8509,0.3963,0.8509,0.9378,0.1707,0.9378,0.8516,0.4161,0.8516,0.5,0.4963,0.4971,0.4993,0.4995,0.4953,0.5053,0.25,493817284,1.5602,0.1828,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.8558,0.3636,0.8558,0.8438,0.3961,0.8438,0.9449,0.1657,0.9449,0.8496,0.4164,0.8496,0.5,0.5037,0.5072,0.5012,0.5023,0.505,0.5093,0.66,617271605,1.64,0.1888,42.3519,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,426,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.8553,0.3741,0.8553,0.8509,0.4004,0.8509,0.9163,0.2212,0.9163,0.8609,0.3639,0.8609,0.5,0.5043,0.5045,0.5106,0.5035,0.5006,0.5047,0.16,740725926,1.6142,0.1917,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.8512,0.3848,0.8512,0.8457,0.397,0.8457,0.9436,0.1614,0.9436,0.8445,0.4418,0.8445,0.5,0.5041,0.5045,0.5004,0.5075,0.5045,0.5046,0.7,864180247,1.6055,0.1876,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.8559,0.3769,0.8559,0.8451,0.3985,0.8451,0.9366,0.1781,0.9366,0.8446,0.4213,0.8446,0.5,0.4974,0.4976,0.4973,0.5,0.4962,0.5059,0.51,987634568,1.6426,0.186,43.8173,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,445,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.8545,0.3712,0.8545,0.8513,0.3925,0.8513,0.9405,0.1668,0.9405,0.8448,0.44,0.8448,0.5,0.5008,0.5009,0.5032,0.4967,0.5024,0.5101,0.21,1111088889,1.6118,0.2026,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,300,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.8572,0.3752,0.8572,0.8446,0.3943,0.8446,0.9401,0.1695,0.9401,0.8438,0.4347,0.8438,0.5,0.4999,0.4997,0.4976,0.5011,0.5045,0.5073,0.5600,1234543210,1.6342,0.1930,47.9038,0.0033,False,True,False,1.0,2.0,cluster,0.4,10,30.0,5,50,3,500,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
