,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.9049,0.252,0.9049,0.8476,0.3952,0.8476,0.9401,0.1743,0.9401,0.851,0.4235,0.851,0.5,0.5187,0.5147,0.4983,0.4973,0.5156,0.5318,0.3,123454321,75.8072,0.19,44.2281,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,334,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8985,0.2655,0.8985,0.8559,0.3875,0.8559,0.9313,0.187,0.9313,0.8573,0.3776,0.8573,0.5,0.5043,0.511,0.5012,0.4957,0.5068,0.5266,0.22,246908642,57.3637,0.1904,44.3169,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,335,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.9043,0.2539,0.9043,0.8571,0.3877,0.8571,0.9408,0.1767,0.9408,0.8539,0.4243,0.8539,0.5,0.5103,0.5139,0.5014,0.4989,0.5064,0.5281,0.31,370362963,56.7452,0.1889,44.3169,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,335,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.9062,0.2647,0.9062,0.8456,0.4182,0.8456,0.9376,0.1707,0.9376,0.8517,0.4161,0.8517,0.5,0.5103,0.5166,0.5024,0.4949,0.5139,0.5338,0.34,493817284,17.8854,0.1992,41.3916,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,303,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.907,0.2498,0.907,0.8506,0.3949,0.8506,0.9446,0.1657,0.9446,0.8497,0.4161,0.8497,0.5,0.5172,0.5192,0.4988,0.4989,0.5195,0.5318,0.22,617271605,12.3087,0.2094,38.0704,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,268,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.8968,0.2624,0.8968,0.8531,0.3751,0.8531,0.9162,0.2212,0.9162,0.8608,0.3639,0.8608,0.5,0.5084,0.5101,0.5045,0.5039,0.5045,0.5241,0.38,740725926,43.1098,0.1936,33.7042,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,223,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.9077,0.2486,0.9077,0.8518,0.3873,0.8518,0.9432,0.1615,0.9432,0.8456,0.4418,0.8456,0.5,0.5141,0.5132,0.495,0.5062,0.5141,0.5334,0.33,864180247,20.3184,0.1985,38.0704,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,268,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.9086,0.2459,0.9086,0.8519,0.3928,0.8519,0.9365,0.1781,0.9365,0.8448,0.4213,0.8448,0.5,0.5144,0.5134,0.5063,0.4944,0.5115,0.5337,0.22,987634568,14.1953,0.2021,39.8734,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,287,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.9154,0.2424,0.9154,0.8505,0.3884,0.8505,0.9409,0.1668,0.9409,0.8448,0.4401,0.8448,0.5,0.5121,0.511,0.4962,0.4872,0.5126,0.536,0.25,1111088889,16.6004,0.1938,40.5376,0.0,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,294,300,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.9084,0.2588,0.9084,0.8473,0.3948,0.8473,0.9398,0.1695,0.9398,0.8441,0.4348,0.8441,0.5,0.5138,0.5144,0.4983,0.4933,0.5128,0.5366,0.3100,1234543210,39.7246,0.1935,46.4483,0.0000,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,359,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
