,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.8691,0.3525,0.8691,0.8507,0.3865,0.8507,0.9401,0.1744,0.9401,0.8504,0.4234,0.8504,0.5,0.5044,0.5039,0.5053,0.498,0.4989,0.5121,0.34,123454321,5.314,0.1815,11.0197,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,423,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8608,0.3643,0.8608,0.8536,0.392,0.8536,0.9314,0.187,0.9314,0.8572,0.3776,0.8572,0.5,0.4987,0.4985,0.5042,0.5024,0.4958,0.5063,0.22,246908642,5.3293,0.1839,11.3235,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,442,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.8592,0.3837,0.8592,0.851,0.3875,0.851,0.9403,0.1767,0.9403,0.8537,0.4245,0.8537,0.5,0.497,0.4964,0.5048,0.4988,0.493,0.5044,0.56,370362963,5.1017,0.1874,9.7495,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,346,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.8538,0.3891,0.8538,0.8492,0.4012,0.8492,0.9376,0.1707,0.9376,0.8518,0.4162,0.8518,0.5,0.5038,0.5034,0.5062,0.4987,0.5014,0.5059,0.23,493817284,5.0589,0.174,8.9261,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,299,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.8606,0.3556,0.8606,0.8536,0.3958,0.8536,0.9445,0.1657,0.9445,0.8498,0.416,0.8498,0.5,0.5047,0.5061,0.4984,0.5029,0.5059,0.5092,0.07,617271605,5.1638,0.1889,10.3869,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,384,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.8623,0.3549,0.8623,0.8532,0.3859,0.8532,0.9163,0.2212,0.9163,0.8608,0.3639,0.8608,0.5,0.5035,0.504,0.4972,0.5051,0.5034,0.5064,0.39,740725926,5.3062,0.1878,11.1317,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,430,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.8668,0.3624,0.8668,0.8542,0.402,0.8542,0.9434,0.1615,0.9434,0.8451,0.4417,0.8451,0.5,0.5068,0.5004,0.4977,0.5092,0.5009,0.509,0.25,864180247,5.2887,0.1776,10.9238,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,417,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.8637,0.3694,0.8637,0.8481,0.4103,0.8481,0.9366,0.1781,0.9366,0.8451,0.4212,0.8451,0.5,0.502,0.5006,0.5021,0.4944,0.5006,0.512,0.25,987634568,5.2648,0.1877,11.2916,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,440,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.8669,0.3583,0.8669,0.8558,0.3836,0.8558,0.9407,0.1668,0.9407,0.8447,0.4403,0.8447,0.5,0.5038,0.5044,0.5025,0.4965,0.5048,0.5096,0.11,1111088889,4.7231,0.1812,11.0197,0.0,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,423,300,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.8690,0.3500,0.8690,0.8464,0.3961,0.8464,0.9400,0.1695,0.9400,0.8444,0.4347,0.8444,0.5,0.5004,0.5006,0.5010,0.5024,0.5021,0.5124,0.5600,1234543210,4.6461,0.1866,12.2158,0.0000,False,True,False,1.0,2.0,saint_node,0.2,10,30.0,10,1,3,500,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
