,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.8623,0.3671,0.8623,0.844,0.4185,0.844,0.9401,0.1743,0.9401,0.8505,0.4237,0.8505,0.5,0.5085,0.5084,0.5062,0.4985,0.5005,0.514,0.09,123454321,33.2246,0.2026,7.656,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,229,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8572,0.3608,0.8572,0.8498,0.4066,0.8498,0.9311,0.187,0.9311,0.8571,0.3775,0.8571,0.5,0.5006,0.5013,0.5024,0.4997,0.5033,0.5101,0.08,246908642,13.9871,0.1947,7.6166,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,227,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.8606,0.3884,0.8606,0.8526,0.396,0.8526,0.9406,0.1767,0.9406,0.8535,0.4244,0.8535,0.5,0.504,0.5024,0.4953,0.4976,0.5003,0.5078,0.14,370362963,14.4366,0.1968,7.5158,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,222,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.854,0.3889,0.854,0.8369,0.4359,0.8369,0.9376,0.1707,0.9376,0.8519,0.4163,0.8519,0.5,0.5042,0.5057,0.5034,0.4996,0.5052,0.5107,0.04,493817284,11.39,0.1884,9.0701,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,304,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.8691,0.3579,0.8691,0.8522,0.424,0.8522,0.9446,0.1657,0.9446,0.85,0.4163,0.85,0.5,0.5053,0.5088,0.5062,0.5049,0.5062,0.5134,0.12,617271605,14.0441,0.1876,7.5158,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,222,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.869,0.3507,0.869,0.8525,0.3917,0.8525,0.9164,0.2212,0.9164,0.8609,0.3639,0.8609,0.5,0.5066,0.5062,0.4972,0.5048,0.5036,0.5093,0.06,740725926,14.2297,0.197,7.5158,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,222,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.8657,0.3699,0.8657,0.8453,0.4225,0.8453,0.9439,0.1615,0.9439,0.8457,0.4419,0.8457,0.5,0.5101,0.5073,0.4962,0.5072,0.5081,0.5104,0.59,864180247,14.0591,0.1891,7.5764,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,225,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.8639,0.3639,0.8639,0.8503,0.4121,0.8503,0.9365,0.1781,0.9365,0.8445,0.4212,0.8445,0.5,0.5039,0.5025,0.5017,0.4978,0.5033,0.5109,0.17,987634568,14.0003,0.2022,7.5966,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,226,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.874,0.3477,0.874,0.8537,0.4,0.8537,0.9409,0.1667,0.9409,0.8447,0.4402,0.8447,0.5,0.5001,0.4999,0.5028,0.4934,0.5016,0.5131,0.19,1111088889,12.3327,0.2029,8.3897,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,267,300,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.8711,0.3575,0.8711,0.8471,0.4074,0.8471,0.9401,0.1695,0.9401,0.8444,0.4348,0.8444,0.5,0.5001,0.5002,0.4963,0.4988,0.5039,0.5136,0.32,1234543210,13.9853,0.1905,7.5562,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,224,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
