,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,github,0.8724,0.3463,0.8724,0.85,0.3873,0.85,0.9401,0.1744,0.9401,0.8505,0.4232,0.8505,0.5,0.5036,0.5042,0.4955,0.5002,0.5035,0.5139,0.16,123454321,63.4123,0.16,1.5084,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,414,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,github,0.8614,0.3636,0.8614,0.8522,0.3947,0.8522,0.9315,0.1871,0.9315,0.8578,0.3776,0.8578,0.5,0.4991,0.4993,0.5005,0.5017,0.4997,0.506,0.71,246908642,70.3155,0.1801,1.5083,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,400,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,github,0.8589,0.3816,0.8589,0.8549,0.3894,0.8549,0.9407,0.1767,0.9407,0.8539,0.4243,0.8539,0.5,0.4979,0.4961,0.4995,0.4975,0.4986,0.505,0.25,370362963,76.9245,0.1571,1.5078,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,304,295,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,github,0.8576,0.3929,0.8576,0.848,0.4119,0.848,0.9379,0.1707,0.9379,0.8518,0.4165,0.8518,0.5,0.5014,0.5018,0.5032,0.4977,0.5009,0.5065,0.23,493817284,70.5281,0.1543,1.5078,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,298,273,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,github,0.8608,0.3605,0.8608,0.8524,0.4091,0.8524,0.9448,0.1657,0.9448,0.8498,0.4161,0.8498,0.5,0.5065,0.508,0.5018,0.5034,0.5093,0.5116,0.06,617271605,63.6062,0.1556,1.5081,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,370,299,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,github,0.8638,0.3607,0.8638,0.8533,0.3968,0.8533,0.9164,0.2212,0.9164,0.8608,0.3639,0.8608,0.5,0.5073,0.505,0.5048,0.5048,0.4984,0.5065,0.73,740725926,62.3844,0.1541,1.5082,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,386,231,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,github,0.8665,0.3677,0.8665,0.8513,0.4067,0.8513,0.9434,0.1614,0.9434,0.8443,0.4418,0.8443,0.5,0.508,0.5001,0.5042,0.5097,0.5012,0.5088,0.69,864180247,62.7742,0.1578,1.5082,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,373,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,github,0.8643,0.3838,0.8643,0.8477,0.4121,0.8477,0.9365,0.1781,0.9365,0.8451,0.4214,0.8451,0.5,0.5044,0.5054,0.4976,0.4959,0.5058,0.5104,0.24,987634568,61.7614,0.1443,1.5081,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,353,313,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,github,0.8675,0.3519,0.8675,0.8551,0.3851,0.8551,0.9406,0.1668,0.9406,0.8445,0.4402,0.8445,0.5,0.4974,0.5032,0.4995,0.4966,0.5022,0.5093,0.13,1111088889,59.9243,0.1475,1.5081,0.0,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,358,300,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,github,0.8687,0.3489,0.8687,0.8473,0.3932,0.8473,0.9399,0.1695,0.9399,0.8445,0.4348,0.8445,0.5,0.4991,0.4994,0.5019,0.5013,0.5073,0.5122,0.4100,1234543210,62.2436,0.1602,1.5085,0.0000,False,True,False,1.0,2.0,saint_node,0.4,10,30.0,10,1,3,442,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
