,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,lastfmasia,0.8149,0.7039,0.8149,0.752,1.0095,0.752,0.9755,0.1174,0.9755,0.8285,0.9057,0.8285,0.5,0.5147,0.5112,0.5135,0.5013,0.5124,0.5346,0.07,123454321,0.7935,0.1805,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,323,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,lastfmasia,0.8155,0.6702,0.8155,0.7398,1.0367,0.7398,0.9761,0.1103,0.9761,0.7952,0.9183,0.7952,0.5,0.5124,0.5284,0.5109,0.518,0.517,0.5501,0.09,246908642,0.7791,0.1833,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,307,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,lastfmasia,0.8021,0.702,0.8021,0.7334,1.101,0.7334,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.5144,0.529,0.5141,0.532,0.5159,0.5402,0.21,370362963,0.7708,0.1878,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,lastfmasia,0.8097,0.7057,0.8097,0.7631,1.0068,0.7631,0.9802,0.1044,0.9802,0.825,0.8766,0.825,0.5,0.499,0.4989,0.5022,0.5133,0.4987,0.5259,0.19,493817284,0.7196,0.1888,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,lastfmasia,0.8219,0.6386,0.8219,0.745,1.0331,0.745,0.9737,0.1165,0.9737,0.8081,0.9761,0.8081,0.5,0.5051,0.5124,0.5132,0.5098,0.5194,0.5449,0.22,617271605,0.8129,0.1785,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,lastfmasia,0.812,0.693,0.812,0.7561,0.9877,0.7561,0.9802,0.1123,0.9802,0.8016,0.998,0.8016,0.5,0.5127,0.5027,0.5054,0.5083,0.5135,0.5353,0.25,740725926,0.7445,0.1771,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,306,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,lastfmasia,0.8097,0.6993,0.8097,0.7643,0.992,0.7643,0.9766,0.1053,0.9766,0.8063,0.9417,0.8063,0.5,0.5045,0.5069,0.5092,0.5028,0.5051,0.5294,0.24,864180247,0.737,0.1751,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,317,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,lastfmasia,0.8033,0.7359,0.8033,0.7503,1.031,0.7503,0.9772,0.1097,0.9772,0.7987,0.9793,0.7987,0.5,0.5033,0.5118,0.5071,0.5139,0.513,0.5294,0.24,987634568,0.7602,0.1736,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,lastfmasia,0.8278,0.6667,0.8278,0.7765,0.9591,0.7765,0.9807,0.0932,0.9807,0.8133,0.9624,0.8133,0.5,0.5077,0.515,0.5048,0.5039,0.4972,0.5274,0.16,1111088889,0.7695,0.1743,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,325,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,lastfmasia,0.8161,0.6686,0.8161,0.7695,0.9565,0.7695,0.9784,0.1082,0.9784,0.7923,0.9892,0.7923,0.5,0.5147,0.5174,0.5118,0.5139,0.5074,0.5291,0.23,1234543210,0.76,0.182,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,lastfmasia,0.8541,0.5214,0.8541,0.7719,0.9376,0.7719,0.9755,0.1178,0.9755,0.8291,0.9044,0.8291,0.5,0.5112,0.5258,0.5054,0.5036,0.5223,0.5483,0.1,123454321,1.0882,0.1752,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,lastfmasia,0.8581,0.4997,0.8581,0.7573,0.9808,0.7573,0.9761,0.1103,0.9761,0.7952,0.9184,0.7952,0.5,0.5205,0.5363,0.515,0.5159,0.5098,0.5612,0.09,246908642,0.9988,0.1852,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,307,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,lastfmasia,0.8506,0.5288,0.8506,0.755,1.0464,0.755,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.5235,0.5337,0.5095,0.5288,0.5209,0.5504,0.21,370362963,0.9993,0.175,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
