,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,lastfmasia,0.9235,0.2571,0.9235,0.79,0.8608,0.79,0.9755,0.1178,0.9755,0.8285,0.9045,0.8285,0.5,0.5416,0.5567,0.5497,0.5182,0.539,0.5816,0.06,123454321,1.8849,0.1804,115.2248,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,309,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,lastfmasia,0.9323,0.2539,0.9323,0.797,0.9319,0.797,0.9761,0.1103,0.9761,0.7952,0.9184,0.7952,0.5,0.5331,0.5635,0.5416,0.5045,0.5594,0.5837,0.04,246908642,1.8894,0.1738,119.6297,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,325,307,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,lastfmasia,0.9165,0.2797,0.9165,0.7765,1.0107,0.7765,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.5512,0.5588,0.5384,0.5302,0.548,0.5752,0.12,370362963,1.8912,0.1736,116.0507,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,312,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,lastfmasia,0.9241,0.2718,0.9241,0.8028,0.9104,0.8028,0.9807,0.1044,0.9807,0.825,0.8767,0.825,0.5,0.5338,0.5404,0.5396,0.5194,0.5486,0.5714,0.07,493817284,2.1699,0.1786,123.2087,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,338,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,lastfmasia,0.9253,0.2396,0.9253,0.776,0.9527,0.776,0.9737,0.1165,0.9737,0.8081,0.976,0.8081,0.5,0.5492,0.5428,0.5247,0.5138,0.5372,0.5811,0.09,617271605,1.8861,0.1747,123.2087,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,338,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,lastfmasia,0.9206,0.2696,0.9206,0.7911,0.9508,0.7911,0.9802,0.1122,0.9802,0.8011,0.9981,0.8011,0.5,0.5384,0.5472,0.5404,0.5092,0.5398,0.5773,0.07,740725926,2.0635,0.1872,119.6297,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,325,306,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,lastfmasia,0.9259,0.271,0.9259,0.8051,0.924,0.8051,0.9766,0.1053,0.9766,0.8063,0.9417,0.8063,0.5,0.5472,0.539,0.5506,0.5077,0.5355,0.5636,0.17,864180247,2.0194,0.174,121.8322,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,333,317,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,lastfmasia,0.9142,0.2754,0.9142,0.79,0.8858,0.79,0.9772,0.1097,0.9772,0.7987,0.9793,0.7987,0.5,0.5387,0.5419,0.5299,0.5191,0.5349,0.567,0.09,987634568,2.1562,0.1843,109.7186,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,289,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,lastfmasia,0.9311,0.244,0.9311,0.8028,0.8489,0.8028,0.9807,0.0936,0.9807,0.8133,0.9612,0.8133,0.5,0.5623,0.5536,0.536,0.5028,0.5565,0.5752,0.11,1111088889,1.8891,0.1802,113.5729,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,303,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,lastfmasia,0.9317,0.2431,0.9317,0.7975,0.8596,0.7975,0.9784,0.1082,0.9784,0.7923,0.9891,0.7923,0.5,0.5465,0.553,0.5363,0.5075,0.5515,0.5697,0.18,1234543210,2.1394,0.1846,119.3544,0.0001,False,True,False,1.0,1.0,neighbor,0.4,20,30.0,5,50,3,324,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
