,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,lastfmasia,0.8167,0.7975,0.8167,0.7824,0.98,0.7824,0.9755,0.1178,0.9755,0.8296,0.9045,0.8296,0.5,0.5227,0.5383,0.5176,0.5144,0.5229,0.5337,0.03,123454321,6.3137,0.1422,1.2563,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,393,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,lastfmasia,0.8266,0.6802,0.8266,0.7771,0.9325,0.7771,0.9761,0.1103,0.9761,0.7952,0.9184,0.7952,0.5,0.5337,0.5335,0.5279,0.5039,0.5352,0.5454,0.04,246908642,6.2817,0.1385,1.2558,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,366,307,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,lastfmasia,0.8085,0.8278,0.8085,0.7608,1.0267,0.7608,0.9778,0.1052,0.9778,0.8011,0.9724,0.8011,0.5,0.525,0.5354,0.5235,0.5311,0.5264,0.5265,0.13,370362963,7.0197,0.1466,1.2565,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,405,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,lastfmasia,0.8149,0.7849,0.8149,0.7888,0.9309,0.7888,0.9807,0.1044,0.9807,0.825,0.8766,0.825,0.5,0.5156,0.5276,0.5255,0.5118,0.5357,0.5317,0.07,493817284,6.8749,0.1383,1.256,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,380,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,lastfmasia,0.8365,0.6829,0.8365,0.7713,0.9665,0.7713,0.9737,0.1165,0.9737,0.8081,0.976,0.8081,0.5,0.5166,0.5119,0.4931,0.5106,0.5244,0.5347,0.17,617271605,6.4738,0.1447,1.2556,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,356,331,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,lastfmasia,0.8196,0.7755,0.8196,0.7835,0.9404,0.7835,0.9802,0.1122,0.9802,0.8011,0.9982,0.8011,0.5,0.5095,0.5144,0.5153,0.5065,0.5212,0.5288,0.03,740725926,6.587,0.1518,1.2563,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,393,306,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,lastfmasia,0.8167,0.8076,0.8167,0.7771,0.9666,0.7771,0.9766,0.1053,0.9766,0.8063,0.9417,0.8063,0.5,0.5136,0.5203,0.5127,0.508,0.527,0.5207,0.16,864180247,6.6529,0.1453,1.2577,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,465,317,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,lastfmasia,0.7998,0.7931,0.7998,0.7678,0.9837,0.7678,0.9772,0.1097,0.9772,0.7987,0.9793,0.7987,0.5,0.5183,0.5243,0.4975,0.515,0.5112,0.5209,0.06,987634568,6.9078,0.1513,1.255,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,327,312,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,lastfmasia,0.8103,0.7949,0.8103,0.7841,0.95,0.7841,0.9807,0.0932,0.9807,0.8133,0.9624,0.8133,0.5,0.5255,0.5288,0.5098,0.5098,0.5197,0.5244,0.02,1111088889,6.6896,0.1494,1.2551,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,334,325,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,lastfmasia,0.8144,0.7768,0.8144,0.7725,0.9099,0.7725,0.9784,0.1082,0.9784,0.7917,0.9892,0.7917,0.5,0.5258,0.5209,0.5194,0.5197,0.5048,0.5279,0.04,1234543210,6.5834,0.1372,1.2562,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,387,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,lastfmasia,0.8225,0.8209,0.8225,0.7859,1.0071,0.7859,0.9755,0.1178,0.9755,0.8291,0.9045,0.8291,0.5,0.5208,0.5392,0.5214,0.5197,0.5089,0.5337,0.02,123454321,11.1727,0.1334,1.3334,0.0,False,True,False,1.0,1.0,saint_node,0.4,10,30.0,5,50,3,343,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
