,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9372,0.2304,0.9372,0.8971,0.3598,0.8971,0.982,0.0547,0.982,0.9297,0.2901,0.9297,0.5,0.5099,0.516,0.5142,0.5151,0.5154,0.5253,0.07,123454321,0.7629,0.4663,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,326,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.9273,0.289,0.9273,0.8895,0.3989,0.8895,0.982,0.0546,0.982,0.9297,0.2913,0.9297,0.5,0.5099,0.5192,0.5134,0.5122,0.5172,0.5247,0.03,123454321,0.5756,0.188,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9279,0.2923,0.9279,0.8971,0.3802,0.8971,0.982,0.0688,0.982,0.9349,0.2734,0.9349,0.5,0.525,0.5256,0.5105,0.5151,0.514,0.5244,0.06,246908642,0.5542,0.1909,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,335,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9302,0.2794,0.9302,0.8953,0.4209,0.8953,0.9826,0.0665,0.9826,0.9215,0.3202,0.9215,0.5,0.5038,0.523,0.5137,0.5195,0.5177,0.5262,0.05,370362963,0.5791,0.1832,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,403,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.9233,0.308,0.9233,0.8994,0.3882,0.8994,0.9808,0.0661,0.9808,0.9372,0.2415,0.9372,0.5,0.5035,0.4974,0.5084,0.511,0.5044,0.514,0.32,493817284,0.5778,0.1874,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,369,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9209,0.3306,0.9209,0.8901,0.4029,0.8901,0.9843,0.06,0.9843,0.9308,0.3203,0.9308,0.5,0.5017,0.5195,0.5017,0.5195,0.4983,0.5166,0.09,617271605,0.5331,0.1863,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9174,0.3155,0.9174,0.8884,0.3914,0.8884,0.9884,0.0437,0.9884,0.9314,0.3114,0.9314,0.5,0.5,0.5134,0.4977,0.5201,0.5032,0.5154,0.22,740725926,0.4085,0.1867,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.9279,0.2843,0.9279,0.914,0.3618,0.914,0.9802,0.0572,0.9802,0.9337,0.2754,0.9337,0.5,0.5058,0.5201,0.4983,0.5157,0.498,0.5151,0.09,864180247,0.554,0.1792,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9221,0.3083,0.9221,0.8878,0.4495,0.8878,0.986,0.0515,0.986,0.9378,0.252,0.9378,0.5,0.4971,0.5058,0.4939,0.5067,0.4974,0.5201,0.11,987634568,0.5038,0.1798,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.9331,0.2649,0.9331,0.9076,0.3681,0.9076,0.9802,0.0654,0.9802,0.9273,0.2806,0.9273,0.5,0.5163,0.5235,0.5151,0.5203,0.5195,0.5291,0.02,1111088889,0.5761,0.1856,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,photo,0.9116,0.3251,0.9116,0.9012,0.3682,0.9012,0.9785,0.0667,0.9785,0.9355,0.2649,0.9355,0.5,0.5131,0.5297,0.514,0.5174,0.516,0.5151,0.11,1234543210,0.5741,0.1869,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,photo,0.9378,0.2319,0.9378,0.8977,0.3596,0.8977,0.982,0.0551,0.982,0.9291,0.2911,0.9291,0.5,0.5134,0.5192,0.5233,0.5102,0.5172,0.5285,0.12,123454321,0.9199,0.1842,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,326,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,photo,0.943,0.2213,0.943,0.9076,0.3326,0.9076,0.9808,0.0713,0.9808,0.936,0.2695,0.936,0.5,0.525,0.5276,0.509,0.5142,0.5267,0.5259,0.07,246908642,0.9151,0.192,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,photo,0.9384,0.2375,0.9384,0.9006,0.4066,0.9006,0.982,0.0671,0.982,0.9227,0.3201,0.9227,0.5,0.5273,0.5244,0.5078,0.5198,0.5186,0.5241,0.02,370362963,0.9292,0.1804,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,401,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,photo,0.936,0.2328,0.936,0.9047,0.3504,0.9047,0.9802,0.0697,0.9802,0.9355,0.237,0.9355,0.5,0.502,0.4994,0.5148,0.5137,0.5142,0.5195,0.23,493817284,0.8249,0.1852,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,368,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
15,photo,0.9395,0.2305,0.9395,0.9081,0.3285,0.9081,0.9837,0.0594,0.9837,0.9314,0.3214,0.9314,0.5,0.5125,0.5201,0.4956,0.5206,0.5003,0.5203,0.19,617271605,0.827,0.1782,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,322,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
16,photo,0.9349,0.2324,0.9349,0.9087,0.3216,0.9087,0.9895,0.0435,0.9895,0.9308,0.3109,0.9308,0.5,0.5064,0.518,0.4985,0.5148,0.5049,0.5166,0.15,740725926,0.9206,0.1822,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
17,photo,0.9442,0.215,0.9442,0.9192,0.318,0.9192,0.9814,0.0569,0.9814,0.9337,0.2748,0.9337,0.5,0.5023,0.5172,0.4959,0.5131,0.4988,0.5145,0.06,864180247,0.9261,0.1775,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
18,photo,0.9419,0.2329,0.9419,0.8977,0.4003,0.8977,0.9866,0.0518,0.9866,0.939,0.2526,0.939,0.5,0.4974,0.5081,0.4892,0.511,0.5006,0.5227,0.13,987634568,0.7698,0.1764,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
19,photo,0.9453,0.2046,0.9453,0.9203,0.3177,0.9203,0.9797,0.0652,0.9797,0.9262,0.2798,0.9262,0.5,0.5206,0.5203,0.516,0.5183,0.5186,0.5291,0.05,1111088889,0.813,0.1787,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
20,photo,0.9343,0.2535,0.9343,0.9227,0.3257,0.9227,0.9785,0.0667,0.9785,0.9349,0.2662,0.9349,0.5,0.5279,0.5288,0.5233,0.5166,0.5218,0.5230,0.1100,1234543210,0.5427,0.1797,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
