,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9331,0.2541,0.9331,0.9157,0.2969,0.9157,0.982,0.055,0.982,0.9297,0.2899,0.9297,0.5,0.5087,0.514,0.5125,0.5108,0.5096,0.5177,0.01,123454321,8.4309,0.1444,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.925,0.2469,0.925,0.9163,0.267,0.9163,0.9814,0.0691,0.9814,0.9349,0.2727,0.9349,0.5,0.5183,0.5122,0.5183,0.5052,0.5015,0.5288,0.01,246908642,8.0949,0.1448,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,335,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9372,0.2178,0.9372,0.9262,0.2841,0.9262,0.9826,0.0665,0.9826,0.9215,0.3203,0.9215,0.5,0.5096,0.5148,0.5262,0.516,0.5212,0.5233,0.01,370362963,8.2496,0.1529,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,403,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9267,0.2428,0.9267,0.9169,0.2846,0.9169,0.9837,0.0665,0.9837,0.9372,0.2395,0.9372,0.5,0.5044,0.5052,0.5142,0.5151,0.5087,0.5093,0.09,493817284,7.5114,0.1462,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,363,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.925,0.2516,0.925,0.9134,0.3026,0.9134,0.9849,0.0597,0.9849,0.932,0.321,0.932,0.5,0.5151,0.5206,0.5102,0.5235,0.4927,0.5125,0.01,617271605,8.0947,0.1506,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9302,0.2496,0.9302,0.9221,0.2752,0.9221,0.9901,0.0407,0.9901,0.9297,0.3178,0.9297,0.5,0.5023,0.5134,0.5041,0.5198,0.5137,0.5096,0.02,740725926,7.7039,0.153,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,383,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9285,0.2584,0.9285,0.9192,0.3082,0.9192,0.9808,0.0569,0.9808,0.9331,0.2748,0.9331,0.5,0.5134,0.5116,0.4913,0.511,0.5006,0.5073,0.07,864180247,7.9237,0.1473,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.9291,0.2463,0.9291,0.9198,0.3166,0.9198,0.9866,0.0517,0.9866,0.9395,0.2526,0.9395,0.5,0.4994,0.5055,0.4933,0.5087,0.4948,0.5119,0.09,987634568,7.0851,0.1417,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9337,0.2309,0.9337,0.9256,0.279,0.9256,0.9797,0.0655,0.9797,0.9273,0.2795,0.9273,0.5,0.5102,0.5151,0.5206,0.5169,0.5238,0.5206,0.01,1111088889,7.0647,0.1468,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.9227,0.2722,0.9227,0.9262,0.2864,0.9262,0.9785,0.0671,0.9785,0.9343,0.2678,0.9343,0.5,0.5209,0.5221,0.5102,0.5227,0.5206,0.5169,0.03,1234543210,7.1801,0.1389,1.2591,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
