,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9523,0.1896,0.9523,0.918,0.2869,0.918,0.9814,0.0553,0.9814,0.9297,0.2915,0.9297,0.5,0.5253,0.5174,0.5166,0.514,0.5122,0.5233,0.11,123454321,69.0663,0.1734,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,326,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.9523,0.1651,0.9523,0.9215,0.2572,0.9215,0.9808,0.0684,0.9808,0.9355,0.2741,0.9355,0.5,0.525,0.5247,0.511,0.4983,0.5201,0.5311,0.02,246908642,70.9578,0.1829,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,335,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9541,0.161,0.9541,0.9343,0.2714,0.9343,0.9826,0.0661,0.9826,0.9215,0.3209,0.9215,0.5,0.5218,0.5209,0.5224,0.5163,0.5244,0.5265,0.02,370362963,70.0685,0.1796,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,404,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9407,0.1876,0.9407,0.9163,0.2916,0.9163,0.9802,0.0714,0.9802,0.9355,0.2351,0.9355,0.5,0.502,0.5122,0.5113,0.5151,0.5012,0.5201,0.05,493817284,67.1259,0.1763,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,370,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.9442,0.195,0.9442,0.9064,0.2976,0.9064,0.9849,0.0595,0.9849,0.9326,0.3212,0.9326,0.5,0.5198,0.5279,0.5302,0.5265,0.5035,0.5262,0.1,617271605,68.8872,0.1779,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9459,0.181,0.9459,0.9203,0.2704,0.9203,0.9901,0.0414,0.9901,0.9302,0.3164,0.9302,0.5,0.5177,0.5172,0.5081,0.5172,0.5102,0.5172,0.07,740725926,68.2918,0.1906,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,378,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9523,0.175,0.9523,0.9238,0.2828,0.9238,0.9808,0.0569,0.9808,0.9331,0.2748,0.9331,0.5,0.5125,0.5195,0.4983,0.5128,0.5029,0.5195,0.13,864180247,68.0044,0.1744,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.9395,0.1922,0.9395,0.9169,0.3053,0.9169,0.986,0.0517,0.986,0.9384,0.2523,0.9384,0.5,0.511,0.5093,0.5017,0.5078,0.4988,0.5203,0.08,987634568,63.1268,0.1771,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9558,0.1652,0.9558,0.9349,0.2562,0.9349,0.9797,0.0648,0.9797,0.9267,0.2816,0.9267,0.5,0.5189,0.5212,0.5288,0.5183,0.5262,0.5331,0.02,1111088889,61.9749,0.1746,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,302,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.943,0.2086,0.943,0.9262,0.278,0.9262,0.9779,0.0683,0.9779,0.936,0.2614,0.936,0.5,0.518,0.5291,0.5198,0.5209,0.5195,0.5224,0.07,1234543210,61.1955,0.185,1.3369,0.0,False,True,False,1.0,1.0,saint_rw,0.4,10,30.0,10,1,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
