,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9564,0.1649,0.9564,0.9163,0.2792,0.9163,0.982,0.0552,0.982,0.9297,0.2898,0.9297,0.5,0.5151,0.5224,0.5055,0.5113,0.5119,0.5267,0.12,123454321,7.464,0.1739,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,327,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.9576,0.1509,0.9576,0.9244,0.2426,0.9244,0.9802,0.0715,0.9802,0.9349,0.269,0.9349,0.5,0.5241,0.5282,0.5177,0.5073,0.5116,0.5297,0.04,246908642,2.8392,0.1883,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9581,0.1437,0.9581,0.9308,0.2693,0.9308,0.9831,0.0668,0.9831,0.9203,0.3198,0.9203,0.5,0.5224,0.5218,0.5163,0.5183,0.5262,0.5346,0.02,370362963,2.1038,0.186,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,401,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9523,0.158,0.9523,0.9227,0.2755,0.9227,0.9826,0.0662,0.9826,0.9349,0.2398,0.9349,0.5,0.5032,0.5145,0.5029,0.5137,0.5073,0.5206,0.16,493817284,4.7966,0.1726,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,363,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.9547,0.1526,0.9547,0.9291,0.2563,0.9291,0.9849,0.0604,0.9849,0.9314,0.3212,0.9314,0.5,0.5244,0.5294,0.5163,0.5206,0.5145,0.5253,0.1,617271605,9.5964,0.1815,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9558,0.1572,0.9558,0.9326,0.2396,0.9326,0.9878,0.0438,0.9878,0.932,0.3104,0.932,0.5,0.5163,0.5145,0.5084,0.5183,0.5116,0.5212,0.01,740725926,10.0922,0.1764,51.2985,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,444,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9529,0.1519,0.9529,0.9279,0.2593,0.9279,0.9808,0.0568,0.9808,0.9343,0.2756,0.9343,0.5,0.5125,0.5163,0.5058,0.5131,0.5093,0.5201,0.09,864180247,9.7219,0.179,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.9529,0.1576,0.9529,0.9209,0.2971,0.9209,0.9872,0.052,0.9872,0.939,0.2525,0.939,0.5,0.5017,0.5119,0.5029,0.5078,0.4971,0.5215,0.07,987634568,2.7942,0.1839,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9634,0.1443,0.9634,0.939,0.2407,0.939,0.9785,0.0678,0.9785,0.9262,0.2771,0.9262,0.5,0.5157,0.5177,0.5189,0.5145,0.5253,0.5215,0.01,1111088889,2.1078,0.1737,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.9453,0.1903,0.9453,0.9267,0.2759,0.9267,0.9785,0.0671,0.9785,0.9337,0.2687,0.9337,0.5,0.5224,0.5288,0.5192,0.5192,0.5131,0.5285,0.04,1234543210,3.9976,0.1732,55.941,0.0001,False,True,False,1.0,2.0,neighbor,0.4,20,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
