,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,photo,0.9471,0.2325,0.9471,0.9174,0.2938,0.9174,0.982,0.0551,0.982,0.9297,0.2898,0.9297,0.5,0.516,0.5151,0.5113,0.5122,0.5151,0.5201,0.02,123454321,2.0094,0.1754,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,327,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,photo,0.9326,0.2401,0.9326,0.9163,0.2899,0.9163,0.9837,0.0611,0.9837,0.932,0.2859,0.932,0.5,0.523,0.516,0.5102,0.5084,0.5221,0.5177,0.05,246908642,1.9816,0.1889,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,376,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,photo,0.9372,0.2201,0.9372,0.9262,0.2665,0.9262,0.9831,0.0669,0.9831,0.9209,0.3195,0.9209,0.5,0.5122,0.5186,0.5183,0.5169,0.5177,0.5235,0.02,370362963,1.9552,0.177,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,402,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,photo,0.9279,0.2406,0.9279,0.9163,0.2934,0.9163,0.982,0.066,0.982,0.9378,0.2426,0.9378,0.5,0.5023,0.5047,0.5093,0.514,0.5145,0.5113,0.2,493817284,1.9767,0.1743,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,363,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,photo,0.9331,0.2377,0.9331,0.9198,0.2859,0.9198,0.9849,0.0593,0.9849,0.9308,0.3215,0.9308,0.5,0.5221,0.5224,0.5064,0.5259,0.498,0.5166,0.01,617271605,1.9777,0.1745,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,photo,0.9372,0.2417,0.9372,0.9262,0.2717,0.9262,0.989,0.0435,0.989,0.9314,0.3107,0.9314,0.5,0.5148,0.516,0.4977,0.5192,0.5009,0.511,0.02,740725926,1.9956,0.1761,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,photo,0.9407,0.2411,0.9407,0.9297,0.2933,0.9297,0.9808,0.0574,0.9808,0.9343,0.2744,0.9343,0.5,0.5172,0.5163,0.5035,0.5142,0.5215,0.5076,0.27,864180247,1.9793,0.1752,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,347,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,photo,0.932,0.2395,0.932,0.9157,0.3182,0.9157,0.986,0.0518,0.986,0.939,0.2521,0.939,0.5,0.5026,0.5023,0.5026,0.5125,0.4953,0.5108,0.33,987634568,1.9596,0.1819,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,photo,0.9436,0.2251,0.9436,0.9384,0.2664,0.9384,0.9814,0.0645,0.9814,0.925,0.2807,0.925,0.5,0.5253,0.5172,0.5148,0.5166,0.5186,0.518,0.01,1111088889,1.9797,0.191,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,302,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,photo,0.9273,0.2694,0.9273,0.9227,0.3058,0.9227,0.9762,0.0668,0.9762,0.9355,0.2635,0.9355,0.5,0.5203,0.527,0.5224,0.5206,0.5172,0.5192,0.05,1234543210,1.9749,0.1746,11.4547,0.0001,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,photo,0.9419,0.2421,0.9419,0.9128,0.3045,0.9128,0.9826,0.0547,0.9826,0.9302,0.2911,0.9302,0.5,0.5172,0.5169,0.5064,0.5137,0.5128,0.5195,0.19,123454321,1.8833,0.1787,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,photo,0.9326,0.2456,0.9326,0.914,0.2987,0.914,0.9814,0.0712,0.9814,0.9343,0.2696,0.9343,0.5,0.5218,0.5174,0.5052,0.5084,0.5157,0.5189,0.01,246908642,1.7431,0.176,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,photo,0.9349,0.2326,0.9349,0.925,0.2791,0.925,0.9826,0.0665,0.9826,0.9215,0.3205,0.9215,0.5,0.5192,0.5192,0.5174,0.5174,0.5206,0.527,0.02,370362963,1.8596,0.1784,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,403,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
13,photo,0.9285,0.2504,0.9285,0.914,0.2989,0.914,0.9808,0.0661,0.9808,0.9366,0.2416,0.9366,0.5,0.5137,0.5035,0.5177,0.5145,0.5073,0.511,0.27,493817284,1.8464,0.1739,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,363,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
14,photo,0.9273,0.2444,0.9273,0.9151,0.2941,0.9151,0.9831,0.0601,0.9831,0.9314,0.3218,0.9314,0.5,0.5203,0.5221,0.5035,0.5241,0.4959,0.5137,0.01,617271605,1.8672,0.174,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,320,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
15,photo,0.9372,0.2556,0.9372,0.9209,0.2877,0.9209,0.989,0.0435,0.989,0.9302,0.3105,0.9302,0.5,0.5061,0.516,0.4866,0.5189,0.5064,0.5099,0.18,740725926,1.8415,0.1764,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,366,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
16,photo,0.9378,0.249,0.9378,0.9209,0.305,0.9209,0.9826,0.0573,0.9826,0.9314,0.275,0.9314,0.5,0.5148,0.514,0.5015,0.5145,0.5047,0.5087,0.28,864180247,1.8983,0.1752,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,344,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
17,photo,0.9291,0.2553,0.9291,0.9163,0.3251,0.9163,0.9855,0.0518,0.9855,0.939,0.2524,0.939,0.5,0.5044,0.5017,0.4988,0.5105,0.4977,0.5102,0.01,987634568,1.8713,0.1756,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,352,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
18,photo,0.939,0.2265,0.939,0.9331,0.2664,0.9331,0.9791,0.0659,0.9791,0.9279,0.2798,0.9279,0.5,0.5218,0.5172,0.5192,0.518,0.5215,0.5209,0.01,1111088889,1.8566,0.1786,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,304,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
19,photo,0.9256,0.2754,0.9256,0.9215,0.3053,0.9215,0.9785,0.0671,0.9785,0.9349,0.2662,0.9349,0.5,0.5206,0.5291,0.5201,0.5227,0.5183,0.5154,0.04,1234543210,1.8373,0.1749,11.6528,0.0001,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,316,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
20,photo,0.9506,0.1853,0.9506,0.914,0.2879,0.914,0.982,0.0554,0.982,0.9302,0.2913,0.9302,0.5,0.5177,0.5166,0.5035,0.5137,0.5078,0.525,0.19,123454321,2.6756,0.1751,28.4245,0.0001,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
21,photo,0.9372,0.2086,0.9372,0.9157,0.2872,0.9157,0.982,0.0686,0.982,0.9343,0.2735,0.9343,0.5,0.5238,0.5169,0.5052,0.5064,0.518,0.5233,0.02,246908642,2.6315,0.1773,28.4245,0.0001,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,500,335,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
22,photo,0.9436,0.1928,0.9436,0.9267,0.264,0.9267,0.9826,0.0672,0.9826,0.9215,0.3178,0.9215,0.5,0.5198,0.5183,0.5137,0.5172,0.5166,0.5259,0.02,370362963,2.7864,0.1834,28.4245,0.0001,False,True,False,1.0,2.0,occurance,0.4,20,30.0,5,50,3,500,393,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
23,photo,0.95,0.1746,0.95,0.9128,0.2975,0.9128,0.9826,0.0549,0.9826,0.9297,0.2901,0.9297,0.5,0.5212,0.5186,0.5169,0.5148,0.5151,0.527,0.18,123454321,2.611,0.1846,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,328,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
24,photo,0.9384,0.2019,0.9384,0.911,0.3027,0.911,0.9802,0.0716,0.9802,0.9349,0.2696,0.9349,0.5,0.5279,0.5142,0.5142,0.5067,0.5169,0.527,0.02,246908642,2.5764,0.1839,77.7768,0.0001,False,True,False,1.0,1.0,occurance,0.4,20,30.0,5,50,3,500,324,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
