,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,physics,0.9196,0.273,0.9196,0.9201,0.2663,0.9201,0.9986,0.0131,0.9986,0.9456,0.2234,0.9456,0.5,0.4951,0.5017,0.4932,0.5087,0.4988,0.5008,0.35,123454321,0.5284,0.1978,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,259,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,physics,0.9186,0.2557,0.9186,0.9211,0.2567,0.9211,0.9985,0.0129,0.9985,0.9496,0.1972,0.9496,0.5,0.501,0.4993,0.5035,0.5108,0.5058,0.5041,0.02,246908642,0.4593,0.1943,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,physics,0.9169,0.2643,0.9169,0.9161,0.2762,0.9161,0.9982,0.0126,0.9982,0.9505,0.2054,0.9505,0.5,0.4984,0.5007,0.4942,0.5004,0.4987,0.5045,0.09,370362963,0.533,0.1951,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,physics,0.9302,0.2449,0.9302,0.9214,0.2673,0.9214,0.9979,0.0133,0.9979,0.9485,0.2006,0.9485,0.5,0.5037,0.5067,0.5026,0.5064,0.5018,0.5061,0.15,493817284,0.5548,0.1906,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,254,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,physics,0.9266,0.268,0.9266,0.9267,0.2615,0.9267,0.9981,0.0114,0.9981,0.9466,0.2192,0.9466,0.5,0.4997,0.5015,0.4999,0.5094,0.4999,0.5019,0.12,617271605,0.5959,0.1959,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,288,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,physics,0.9237,0.2631,0.9237,0.9198,0.2728,0.9198,0.9983,0.0124,0.9983,0.9519,0.1917,0.9519,0.5,0.5008,0.5009,0.4958,0.5064,0.5008,0.5051,0.07,740725926,0.5026,0.2031,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,257,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,physics,0.9223,0.2754,0.9223,0.9128,0.2932,0.9128,0.9978,0.0128,0.9978,0.947,0.2058,0.947,0.5,0.5054,0.5008,0.503,0.5036,0.4983,0.5072,0.3,864180247,0.622,0.1906,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,260,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,physics,0.9249,0.2648,0.9249,0.924,0.2645,0.924,0.9979,0.0129,0.9979,0.9469,0.2261,0.9469,0.5,0.4996,0.5007,0.5001,0.5063,0.5037,0.5036,0.24,987634568,0.5255,0.1936,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,264,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,physics,0.9206,0.2592,0.9206,0.9189,0.2728,0.9189,0.9972,0.0135,0.9972,0.9478,0.2088,0.9478,0.5,0.5055,0.5084,0.5033,0.5098,0.4984,0.5036,0.19,1111088889,0.5919,0.1916,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,275,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,physics,0.9219,0.2638,0.9219,0.9178,0.2672,0.9178,0.9986,0.0106,0.9986,0.9469,0.2093,0.9469,0.5,0.4994,0.5005,0.4979,0.5018,0.5028,0.505,0.28,1234543210,0.6669,0.199,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,262,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
10,physics,0.9367,0.2049,0.9367,0.9341,0.2049,0.9341,0.9986,0.0131,0.9986,0.9456,0.2234,0.9456,0.5,0.4973,0.5035,0.4995,0.5076,0.4973,0.5016,0.35,123454321,1.394,0.1933,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,259,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
11,physics,0.9311,0.2017,0.9311,0.9316,0.2068,0.9316,0.9985,0.0129,0.9985,0.9496,0.1972,0.9496,0.5,0.5055,0.5001,0.5058,0.5095,0.5076,0.5066,0.01,246908642,1.4332,0.1942,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,267,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
12,physics,0.9339,0.2004,0.9339,0.9308,0.2182,0.9308,0.9982,0.0126,0.9982,0.9505,0.2054,0.9505,0.5,0.5025,0.5041,0.5013,0.5031,0.4953,0.5056,0.07,370362963,1.4094,0.1932,150.1678,0.0033,False,True,False,1.0,1.0,cluster,0.4,10,30.0,5,50,3,500,272,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
