,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.5538,1.0096,0.5538,0.5609,1.0117,0.5609,0.9231,0.2214,0.9231,0.8445,0.446,0.8445,0.5,0.5,0.5,0.5002,0.5094,0.5,0.5037,0.4,123454321,0.2858,0.177,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,pubmed,0.5743,0.9947,0.5743,0.5733,0.9993,0.5733,0.9211,0.2251,0.9211,0.8438,0.4567,0.8438,0.5,0.4986,0.5,0.4998,0.4946,0.5,0.507,0.5,246908642,0.3163,0.1631,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,pubmed,0.5621,1.0174,0.5621,0.5712,1.0131,0.5712,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.5022,0.5005,0.4987,0.5009,0.501,0.41,370362963,0.3052,0.1692,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,pubmed,0.5466,1.0171,0.5466,0.5541,1.0261,0.5541,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.4999,0.4995,0.4937,0.5063,0.5,0.5083,0.45,493817284,0.4587,0.1766,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,pubmed,0.697,0.8456,0.697,0.697,0.8511,0.697,0.9233,0.2214,0.9233,0.8442,0.446,0.8442,0.5,0.5001,0.5023,0.501,0.5151,0.5042,0.5113,0.35,123454321,0.7181,0.4411,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,pubmed,0.566,1.0122,0.566,0.5361,1.0272,0.5361,0.9263,0.22,0.9263,0.8411,0.4485,0.8411,0.5,0.5,0.5,0.4982,0.5066,0.5,0.5143,0.43,617271605,0.3507,0.1699,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,pubmed,0.729,0.827,0.729,0.7196,0.8297,0.7196,0.9211,0.225,0.9211,0.8438,0.4567,0.8438,0.5,0.5063,0.4973,0.4857,0.499,0.493,0.5079,0.42,246908642,0.7226,0.1755,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,pubmed,0.4755,1.0124,0.4755,0.4655,1.02,0.4655,0.9215,0.2386,0.9215,0.8336,0.4636,0.8336,0.5,0.5,0.5,0.5052,0.5077,0.5,0.5101,0.41,740725926,0.508,0.1814,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,407,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,pubmed,0.7089,0.8451,0.7089,0.7121,0.8425,0.7121,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.4978,0.4993,0.4956,0.5019,0.5019,0.4,370362963,0.6935,0.5096,90.953,0.001,False,True,False,1.0,1.0,cluster,0.2,10,100.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,pubmed,0.5572,1.0086,0.5572,0.5304,1.0175,0.5304,0.92,0.2212,0.92,0.8451,0.4299,0.8451,0.5,0.5,0.4999,0.5051,0.5003,0.5,0.5122,0.44,864180247,0.5204,0.189,86.9397,0.0033,False,True,False,1.0,1.0,cluster,0.2,10,30.0,5,50,3,500,410,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
