,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.8523,0.3867,0.8523,0.851,0.3936,0.851,0.9233,0.2214,0.9233,0.8442,0.446,0.8442,0.5,0.5139,0.5122,0.4953,0.503,0.5058,0.519,0.05,123454321,16.9916,0.146,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,pubmed,0.8514,0.3823,0.8514,0.8397,0.4128,0.8397,0.9213,0.225,0.9213,0.8438,0.4566,0.8438,0.5,0.5051,0.4981,0.5061,0.5068,0.5023,0.5099,0.11,246908642,16.9125,0.1525,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,pubmed,0.8523,0.3853,0.8523,0.8472,0.4079,0.8472,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.5012,0.5007,0.5012,0.4996,0.5073,0.22,370362963,17.3962,0.1453,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,pubmed,0.8546,0.396,0.8546,0.8494,0.409,0.8494,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.5117,0.5107,0.4974,0.5063,0.4991,0.5056,0.2,493817284,17.7208,0.1488,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,pubmed,0.8487,0.3965,0.8487,0.8327,0.4257,0.8327,0.9263,0.22,0.9263,0.8413,0.4485,0.8413,0.5,0.5137,0.5107,0.5032,0.5075,0.5155,0.5192,0.07,617271605,17.5679,0.1488,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,pubmed,0.86,0.3818,0.86,0.8422,0.404,0.8422,0.9215,0.2386,0.9215,0.8336,0.4636,0.8336,0.5,0.5088,0.5021,0.5021,0.5053,0.5105,0.5116,0.09,740725926,17.5833,0.1481,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,407,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,pubmed,0.8516,0.3917,0.8516,0.835,0.4311,0.835,0.92,0.2212,0.92,0.8451,0.4299,0.8451,0.5,0.5,0.5056,0.5001,0.5017,0.503,0.515,0.17,864180247,17.8724,0.1638,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,410,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,pubmed,0.8564,0.3656,0.8564,0.8487,0.397,0.8487,0.9197,0.2333,0.9197,0.8377,0.457,0.8377,0.5,0.5022,0.5042,0.4933,0.5082,0.4946,0.5079,0.04,987634568,17.1429,0.1499,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,392,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,pubmed,0.8602,0.3668,0.8602,0.8454,0.4011,0.8454,0.9206,0.228,0.9206,0.8487,0.4528,0.8487,0.5,0.5064,0.5059,0.5022,0.5046,0.504,0.5078,0.31,1111088889,16.9127,0.1453,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,439,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,pubmed,0.8501,0.3874,0.8501,0.8438,0.4044,0.8438,0.9195,0.2362,0.9195,0.851,0.4223,0.851,0.5,0.5014,0.503,0.5005,0.4993,0.5008,0.5114,0.05,1234543210,16.7796,0.1428,1.3655,0.0,False,True,False,1.0,1.0,saint_node,0.2,10,30.0,5,50,3,500,398,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
