,Dataset,Vanilla train acc,Vanilla train loss,Vanilla train f1,Vanilla test acc,Vanilla test loss,Vanilla test f1,Shadow train acc,Shadow train loss,Shadow train f1,Shadow test acc,Shadow test loss,Shadow test f1,MIA subsample rate,MIA mlp,MIA svm,MIA ranfor,MIA logi,MIA ada,MIA confidence mse,MIA confidence thr,MIA seed,Vanilla runtime per,Shadow runtime per,Epsilon,Delta,Dp,Rdp,Ldp,Norm bound,Noise scale,Sampler,Sampler batchsize,Occurance k,Cluster numparts,Saint rootnodes,Saint samplecoverage,Saint walklenth,Epochs,Shadow epochs,Num val,Num test,Layers,Hidden dims,Learning rate,Shadow learning rate,Dropout,Activation,Early stopping,Patience,Optim type
0,pubmed,0.8561,0.3924,0.8561,0.8519,0.3979,0.8519,0.9231,0.2214,0.9231,0.8442,0.446,0.8442,0.5,0.5107,0.5147,0.5051,0.5072,0.5145,0.5175,0.11,123454321,4.2227,0.1764,11.9636,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
1,pubmed,0.8584,0.3915,0.8584,0.8523,0.3974,0.8523,0.9233,0.2214,0.9233,0.8442,0.446,0.8442,0.5,0.5106,0.5143,0.5034,0.5067,0.5087,0.5175,0.11,123454321,4.1484,0.171,12.1677,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,443,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
2,pubmed,0.8598,0.3798,0.8598,0.8465,0.407,0.8465,0.9213,0.225,0.9213,0.8438,0.4566,0.8438,0.5,0.5015,0.4992,0.4936,0.5056,0.5112,0.5114,0.23,246908642,4.1786,0.1775,12.1677,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
3,pubmed,0.8593,0.3799,0.8593,0.8469,0.4071,0.8469,0.9213,0.225,0.9213,0.8438,0.4566,0.8438,0.5,0.5035,0.4994,0.4978,0.5052,0.5104,0.5119,0.26,246908642,4.2888,0.1795,11.9636,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,444,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
4,pubmed,0.8514,0.3933,0.8514,0.851,0.4143,0.851,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.4987,0.4979,0.4974,0.5026,0.5144,0.2,370362963,4.2156,0.1762,12.1677,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
5,pubmed,0.8523,0.3936,0.8523,0.8501,0.4146,0.8501,0.9193,0.235,0.9193,0.842,0.4498,0.842,0.5,0.5,0.4987,0.4925,0.4979,0.5015,0.5145,0.2,370362963,4.2843,0.1814,11.9636,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,397,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
6,pubmed,0.8627,0.3892,0.8627,0.8528,0.4095,0.8528,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.509,0.5053,0.4976,0.5072,0.5094,0.5064,0.35,493817284,4.1567,0.1763,12.1677,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
7,pubmed,0.8627,0.3888,0.8627,0.8528,0.4093,0.8528,0.9209,0.2275,0.9209,0.8521,0.4307,0.8521,0.5,0.5084,0.5049,0.4919,0.507,0.5083,0.5062,0.26,493817284,4.2303,0.1716,11.9636,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,465,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
8,pubmed,0.8582,0.3926,0.8582,0.8429,0.4239,0.8429,0.9263,0.22,0.9263,0.8413,0.4485,0.8413,0.5,0.5155,0.5163,0.496,0.5089,0.5165,0.5201,0.21,617271605,4.1909,0.1707,12.1677,0.0,False,True,False,1.0,2.0,occurance,0.2,10,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
9,pubmed,0.8584,0.3927,0.8584,0.8429,0.4237,0.8429,0.9263,0.22,0.9263,0.8413,0.4485,0.8413,0.5,0.5172,0.5155,0.4993,0.5087,0.518,0.5206,0.21,617271605,4.2265,0.1729,11.9636,0.0,False,True,False,1.0,2.0,occurance,0.2,20,30.0,5,50,3,500,437,0.1,0.45,2,256,0.002,0.001,0.5,relu,True,200,adam
